c,n,att,val,name
32,75,-0.08975579892663087,3.0716202e+06,Argentina
50,3,1.59475765834923,5.1899e+06,Bangladesh
76,110,-0.03881976460826003,1.9410376e+07,Brazil
100,94,0.03798255600758863,530679.0,Bulgaria
170,50,0.28798331619129636,2.1369405e+06,Colombia
191,79,0.7244346013031875,392980.84,Croatia
218,13,0.30062939611754425,28536.148,Ecuador
348,102,0.28340587942117346,5.3119375e+06,Hungary
360,82,0.4093102782736468,1.7422948e+07,Indonesia
404,1,0.9245957451474069,225.62901,404
458,2,0.6007426596417184,76300.69,Malaysia
484,7,0.2331363808340425,1.3677012e+07,Mexico
566,1,4.437534607274112,90.04767,566
586,26,1.0178262021745967,190998.36,Pakistan
616,119,0.0720482644426936,6.0233165e+06,Poland
642,96,-0.08823529830208214,1.9982195e+06,Romania
643,41,-0.6598803616726759,7.1514875e+06,Russia
682,13,0.17245096616147884,1.03405325e+06,Saudi Arabia
699,115,0.6122613410004321,4.4216484e+07,India
704,5,1.3120075121670691,5.683601e+06,Vietnam
710,11,0.7566053050933633,2.1430642e+06,South Africa
764,1,-1.371062138121706,207443.42,Thailand
792,29,0.47165390324983514,4.9055825e+06,Turkiye
804,4,-0.2218846010585902,442113.8,Ukraine
818,4,1.5298735243390833,48833.863,Egypt
