outcome,thr,r,att,n_tr
lnS,5,0,0.26699628380708773,1276
lnS,5,1,0.22804121381330628,1276
lnS,5,2,0.23903665865068868,1276
lnS,5,3,0.3132375749728916,1276
lnS,5,4,0.2874086451083662,1276
lnS,6,0,0.2891631249666434,1083
lnS,6,1,0.19583019476419491,1083
lnS,6,2,0.22912454222829082,1083
lnS,6,3,0.22269202624737375,1083
lnS,6,4,0.19270692501113224,1083
lnS,7,0,0.2979855836706804,898
lnS,7,1,0.1934035692818603,898
lnS,7,2,0.20730304946147396,898
lnS,7,3,0.18776428474608384,898
lnS,7,4,0.15165261009348857,898
lnS,8,0,0.35819931259701454,689
lnS,8,1,0.17284412422314038,689
lnS,8,2,0.19948160649267965,689
lnS,8,3,0.18658507169672056,689
lnS,8,4,0.14267550966458123,689
lnS,9,0,0.30687212958228616,323
lnS,9,1,0.10407211064322049,323
lnS,9,2,0.1429427052672604,323
lnS,9,3,0.39637503483838304,323
lnS,9,4,0.32551904744807836,323
lnD,5,0,0.20436683767898842,1276
lnD,5,1,0.04121795007474074,1276
lnD,5,2,0.22293634595467154,1276
lnD,5,3,0.21916058697767318,1276
lnD,5,4,0.4730147028952893,1276
lnD,6,0,0.21480717297401006,1083
lnD,6,1,-0.0006270474547663824,1083
lnD,6,2,0.2353044541783416,1083
lnD,6,3,0.19304887348174413,1083
lnD,6,4,0.4151550086670771,1083
lnD,7,0,0.20662094647327842,898
lnD,7,1,-0.02427185382570488,898
lnD,7,2,0.24308020806128003,898
lnD,7,3,0.22201589250956122,898
lnD,7,4,0.4108227790592035,898
lnD,8,0,0.21036005303308136,689
lnD,8,1,-0.04039172821926492,689
lnD,8,2,0.258100384799775,689
lnD,8,3,0.25320879543894365,689
lnD,8,4,0.48938107111091345,689
lnD,9,0,0.17469907299790582,323
lnD,9,1,-0.11144637139798116,323
lnD,9,2,0.21011729084487504,323
lnD,9,3,0.45502396273104867,323
lnD,9,4,0.6450346503091492,323
lnX,5,0,0.24590151326696247,1276
lnX,5,1,0.2450787038957485,1276
lnX,5,2,0.24935227713445782,1276
lnX,5,3,0.43124980070795044,1276
lnX,5,4,0.3673728698033996,1276
lnX,6,0,0.263340145747857,1083
lnX,6,1,0.20814044623543543,1083
lnX,6,2,0.23367617281263106,1083
lnX,6,3,0.35233262565702816,1083
lnX,6,4,0.27611083699423483,1083
lnX,7,0,0.268000791155595,898
lnX,7,1,0.20419259736322953,898
lnX,7,2,0.20892496450581044,898
lnX,7,3,0.33112201572442407,898
lnX,7,4,0.23971064040002696,898
lnX,8,0,0.33401414367847737,689
lnX,8,1,0.18115694410222985,689
lnX,8,2,0.21900811235927514,689
lnX,8,3,0.33990550284758225,689
lnX,8,4,0.23481122981045224,689
lnX,9,0,0.2642759351086787,323
lnX,9,1,0.10973258980573526,323
lnX,9,2,0.20388076941066974,323
lnX,9,3,0.5544356590409708,323
lnX,9,4,0.40150285353199655,323
