measure,timing,pre_sig_int,pre_sig_ip,post_mean_int,post_mean_ip,N
n_policies,flow,9,2,0.06642559937659441,0.08561864180021432,245466
n_policies,stock,10,7,0.08494146413846537,0.10557171689542143,245466
n_policies,lag,11,8,0.08958281411617847,0.11934628183484607,245466
frac_policies,flow,8,2,0.09177892151542905,0.08810224961771927,245466
frac_policies,stock,12,9,0.11157444144975685,0.10388018541398279,245466
frac_policies,lag,7,3,0.048109430904464075,0.057719545333784095,245466
share_n_policies,flow,1,3,0.08975366009531116,0.15259299029173265,245466
share_n_policies,stock,0,0,0.18442863722160102,0.30945877741418487,245466
share_n_policies,lag,5,2,0.033817737126684615,0.325906895900293,245466
share_frac_policies,flow,7,1,0.027763783294104394,0.06265906974853225,245466
share_frac_policies,stock,0,0,0.15956861622530794,0.19997773501509314,245466
share_frac_policies,lag,0,1,0.025641175602188728,0.10223661299342576,245466
