outcome,scheme,filter,n,att,placebo_sd,p
lnX,block-weighted,pre <= 1x treated,400,0.23367617281263106,0.15589730339407587,0.14463840399002495
lnX,block-weighted,pre <= 1.5x treated,926,0.23367617281263106,0.16737317570572574,0.1855447680690399
lnX,block-weighted,pre <= 2x treated,1000,0.23367617281263106,0.16472509721976747,0.18081918081918083
lnX,block-weighted,pre <= 3x treated,1000,0.23367617281263106,0.16472509721976747,0.18081918081918083
lnX,block-weighted,no filter,1000,0.23367617281263106,0.16472509721976747,0.18081918081918083
lnX,unit-wise,pre <= 1x treated,959,0.23367617281263106,0.10587764470875748,0.030208333333333334
lnX,unit-wise,pre <= 1.5x treated,1000,0.23367617281263106,0.10704702024347774,0.030969030969030968
lnX,unit-wise,pre <= 2x treated,1000,0.23367617281263106,0.10704702024347774,0.030969030969030968
lnX,unit-wise,pre <= 3x treated,1000,0.23367617281263106,0.10704702024347774,0.030969030969030968
lnX,unit-wise,no filter,1000,0.23367617281263106,0.10704702024347774,0.030969030969030968
lnS,block-weighted,pre <= 1x treated,226,0.22912454222829082,0.1590636511532675,0.18061674008810572
lnS,block-weighted,pre <= 1.5x treated,785,0.22912454222829082,0.16561781926951064,0.19338422391857507
lnS,block-weighted,pre <= 2x treated,987,0.22912454222829082,0.1682364465110295,0.20647773279352227
lnS,block-weighted,pre <= 3x treated,1000,0.22912454222829082,0.16802252749421517,0.2057942057942058
lnS,block-weighted,no filter,1000,0.22912454222829082,0.16802252749421517,0.2057942057942058
lnS,unit-wise,pre <= 1x treated,873,0.22912454222829082,0.1045634316187104,0.02631578947368421
lnS,unit-wise,pre <= 1.5x treated,1000,0.22912454222829082,0.10636546337878512,0.027972027972027972
lnS,unit-wise,pre <= 2x treated,1000,0.22912454222829082,0.10636546337878512,0.027972027972027972
lnS,unit-wise,pre <= 3x treated,1000,0.22912454222829082,0.10636546337878512,0.027972027972027972
lnS,unit-wise,no filter,1000,0.22912454222829082,0.10636546337878512,0.027972027972027972
