i,us_pre,us_post,tot_pre,Exposure,Alignment,IP_total,IP_sectors,ECI,meanPCI,Advanced,us_share_of_own,share_of_us_mkt,dlog_us,dshare_us,log_tot_pre,iso,mva_pc,log_mva_pc
484,271554752.80486107,421519920.06717426,357094362.12964135,0.22692434421595306,0.21963299013562468,108.0,46.0,2.2969685037810055,0.6147079012380436,0,0.7604565672371899,0.13708914710060066,0.4397032494397237,0.014991991239762803,19.69351062450849,484,1963.6666666666667,7.582568752853578
699,44272350.895874344,81843593.24550875,243440574.75742847,0.1635340403737434,0.22523743284765652,2072.0,122.0,0.33030111688566594,-0.5183999291236439,0,0.18186101860788265,0.022350037190530376,0.6144496774935888,0.007178500451674282,19.31038342453208,356,248.33333333333334,5.51477192971145
704,42132404.03998098,126712179.07375431,203109993.57980454,0.38596319834022075,0.23262947014502494,106.0,55.0,0.9325946259877705,0.3557457171054758,0,0.2074363909790909,0.021269726548625155,1.1011010712051963,0.024447051040565763,19.129258230558218,704,617.6666666666666,6.42594893761725
458,35231486.41775052,49266581.99690316,230536914.4419515,0.23035241919313837,0.24061048150080358,89.0,40.0,1.9514782469946395,0.7586990110197211,0,0.1528236226420984,0.017785932207809833,0.33530581796192394,-1.0929140258797432e-05,19.255921557001212,458,2113.0,7.655864017616056
764,30043533.78281756,60887562.32730182,236480779.71015406,0.22665151836688166,0.11915428134426301,24.0,13.0,1.1142049395741394,0.31914575078789703,0,0.1270442943381734,0.015166894998645795,0.7063814668889812,0.0068008682046453404,19.28137749286919,764,1809.6666666666667,7.500897945237342
76,20568665.271117527,28443245.086971283,134551207.44682238,0.0847343375647519,0.22118637456557774,1758.0,121.0,-0.10398614627706879,-0.6396819033828743,0,0.15286867848619434,0.010383691501954707,0.3241418869436714,-0.00012158789785648473,18.717455409060673,76,808.3333333333334,6.694974514703474
360,18201102.66169446,29803287.141852338,134549433.26073164,0.1917850931985987,0.23367224620564123,976.0,124.0,0.3679641364125943,-0.5654321417860884,0,0.1352744654555633,0.009188473464042793,0.4931365161466914,0.0015643228310772816,18.7174422230193,360,726.3333333333334,6.58800904627651
608,10618337.477516532,14499937.989454165,74033846.43835872,0.25782662024258335,0.0,0.0,0.0,1.6187676723774498,0.9780005949104229,0,0.14342544644573424,0.005360461613666249,0.3115619156420948,-0.0001289957437983413,18.120032930902273,608,565.6666666666666,6.338004976566117
792,8030557.30129544,16063745.365614215,155261241.40277502,0.19946390647885298,0.21328441107019697,372.0,120.0,0.6362947311255568,-0.3034433222006024,0,0.051722871907630565,0.004054071010748246,0.6933109641861961,0.0017416045075594718,18.860619684547967,792,1541.0,7.340186835320115
643,7965560.639410098,5852091.547174354,128579576.81977014,0.09713273495273637,0.1805100721139521,1381.0,125.0,-0.37749229953390967,-1.0020188249719544,0,0.06195043440355552,0.004021258707335348,-0.3083282019812472,-0.0019098691814869286,18.672058545490025,643,1241.6666666666667,7.12420984214555
152,7215728.32808518,13196590.373410271,42386129.94038696,0.08526280602002814,0.217068298594977,11.0,7.0,-0.6678391085764915,-1.5881802546363364,0,0.170237960819579,0.0036427204163783397,0.6036953576765107,0.001118507679033816,17.562331742637966,152,1228.0,7.113142108707088
710,6633165.947750065,12519478.919224065,84474214.44335546,0.0911229493286029,0.20630642402616622,110.0,44.0,-0.3404161461243646,-1.1189123638131007,0,0.07852296693682735,0.003348625104003431,0.6352035361991142,0.0011683063975027322,18.251956891241786,710,782.0,6.661854740545311
50,6199558.647847569,9651233.519929964,38885412.679768465,0.35452286340036665,0.34286932952052884,12.0,11.0,-0.09532873859694725,-0.8185508569806158,0,0.1594314736711824,0.0031297268733289597,0.44260762939516063,0.00035236379480770887,17.47612974288162,50,346.3333333333333,5.847401702431117
616,6052427.806583643,12586926.112671515,190686824.62060025,0.2239272627653761,0.22085521316482482,1112.0,125.0,1.0490673944574604,0.13922595943839705,0,0.03174014680157293,0.0030554507233712396,0.7321991832702501,0.0014858152056887058,19.06614297862224,616,2348.6666666666665,7.761603070233074
348,5330711.487973919,9626190.64949087,99287555.79413606,0.2129683375118095,0.2192242005842129,1039.0,125.0,1.858502940130102,0.5305921854485337,0,0.05368962349145422,0.002691106245711185,0.5910028596725159,0.0007819491477863145,18.413530801868585,348,2819.0,7.9441374911141125
214,4596291.156720325,6945046.277164732,9281426.107287046,0.19016861898416465,0.0,0.0,0.0,-0.3527914923113339,-0.7086033027401475,0,0.4952138931658012,0.002320348393804814,0.4127789315565966,0.0001853707747920012,16.043525768309742,214,931.3333333333334,6.836617251148797
340,4133461.626610635,4868649.171460007,6795323.932769785,0.2516130942851633,0.0,0.0,0.0,-0.45393674293326153,-0.7456980518421399,0,0.6082802920810619,0.002086697887303447,0.16370129893731367,-0.0003301267908354343,15.73174527665623,340,429.6666666666667,6.063009714271078
604,4102768.3022652594,4753206.0905209575,19598447.77217938,0.11482247852971722,0.2232369415776634,6.0,4.0,-0.5944157121529714,-1.7600347654645556,0,0.20934149224252696,0.002071202958149277,0.14715741524195636,-0.00035628283551882673,16.790960925767664,604,870.3333333333334,6.768876280031019
586,3743190.731737092,5519647.94037803,23936091.91478923,0.3026730986122741,0.2634015623452252,438.0,91.0,-0.4263350476137883,-0.8775981530966964,0,0.1563827021162261,0.0018896771997117682,0.38837569479785117,0.00010176923507821626,16.990897999771914,586,141.33333333333334,4.951121166563848
