Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
D_2007,-0.24325882074312288,0.12939625129279705,-1.8799526130991098,0.060114536434905164,-0.4968708130114996,0.010353171525253835
D_2008,-0.22132688260203587,0.12028971480007138,-1.8399485190391733,0.06577579578279225,-0.45709039132077056,0.014436626116698797
D_2009,-0.27458251875383877,0.1387253060796137,-1.9793253769882284,0.047779384208934905,-0.5464791224141771,-0.0026859150935004683
D_2010,-0.23560420961709885,0.12485558059147177,-1.8870138483276713,0.05915846304628758,-0.4803166508452218,0.009108231611024059
D_2011,-0.1569448647998029,0.10813492232288392,-1.4513800114562032,0.14667407255366527,-0.3688854180236918,0.05499568842408595
D_2012,-0.3278236017527526,0.15823850813362927,-2.071705589362054,0.03829290577546263,-0.6379653786620145,-0.017681824843490734
D_2013,-0.3486352930739859,0.15195632222805927,-2.2943125232443218,0.02177255374949949,-0.6464642118641454,-0.050806374283826394
D_2014,-0.16497187675481534,0.04885184884042287,-3.376983280483501,0.0007328550462488703,-0.260719741060239,-0.06922401244939168
D_2015,-0.10262491541791101,0.029410973670147854,-3.4893409707844976,0.00048421307661961066,-0.16026936456165664,-0.04498046627416539
D_2016,-0.0328186153939777,0.024304786265057395,-1.3502943426892218,0.17692158631249022,-0.08045512112543399,0.01481789033747858
D_2018,-0.007763101244445627,0.031647163173368,-0.24530164684645417,0.806222876700927,-0.06979040127710925,0.054264198788218
D_2019,0.01381894179411696,0.050344926061262237,0.27448529326076226,0.7837117040540837,-0.08485530009028901,0.11249318367852292
D_2020,0.025634380328675238,0.09488972690371497,0.27014916329864197,0.7870455008122967,-0.16034606690544756,0.21161482756279804
D_2021,0.05767688401517615,0.10313912570195431,0.5592143972777857,0.5760154085310207,-0.14447208775760376,0.25982585578795603
D_2022,0.025355393886916003,0.11958189962724486,0.21203371050261502,0.8320807350174417,-0.2090208225853677,0.25973161035919967
D_2023,-0.017575821468012395,0.14020914559545627,-0.12535431546472509,0.9002430537291959,-0.2923806971382395,0.2572290542022147
D_2024,-0.026506752380936256,0.14972856763902453,-0.17703203068662537,0.8594832300743176,-0.3199693524101938,0.2669558476483213
