panel,measure,spec,N,IPz,IPz_se,IPz_p,IPxDec,IPxDec_se,IPxDec_p
PANEL A: 2017-base long difference (no Dec interaction),n_policies,1. alpha_k baseline,12117,-0.06366749350033118,0.043982544457318064,0.14985432240628316,,,
PANEL A: 2017-base long difference (no Dec interaction),n_policies,2. + capability levels,12117,-0.2748368905452666,0.11189385072022344,0.01519721582409006,,,
PANEL A: 2017-base long difference (no Dec interaction),n_policies,3. + capability x Dec,12117,-0.17404686701659589,0.06717448313547378,0.01052826846269106,,,
PANEL A: 2017-base long difference (no Dec interaction),n_policies,4. + country FE,12117,0.06248049917369914,0.061140097796751454,0.30848464865604375,,,
PANEL A: 2017-base long difference (no Dec interaction),frac_policies,1. alpha_k baseline,12117,0.027460246792054204,0.01961097231941025,0.16353163312023145,,,
PANEL A: 2017-base long difference (no Dec interaction),frac_policies,2. + capability levels,12117,-0.04948662666599522,0.05298200210261755,0.351811283405679,,,
PANEL A: 2017-base long difference (no Dec interaction),frac_policies,3. + capability x Dec,12117,0.012667055252316341,0.030726552052886866,0.6807518888132673,,,
PANEL A: 2017-base long difference (no Dec interaction),frac_policies,4. + country FE,12117,0.07014046792109366,0.031112455213563074,0.025637913337177354,,,
PANEL A: 2017-base long difference (no Dec interaction),share_n_policies,1. alpha_k baseline,12117,-0.0004200784919004309,0.09600031294034664,0.9965145178447534,,,
PANEL A: 2017-base long difference (no Dec interaction),share_n_policies,2. + capability levels,12117,-0.10359921256943597,0.1135138392425474,0.3629071872052503,,,
PANEL A: 2017-base long difference (no Dec interaction),share_n_policies,3. + capability x Dec,12117,-0.06768046891887783,0.1042639443036001,0.5172628044382379,,,
PANEL A: 2017-base long difference (no Dec interaction),share_n_policies,4. + country FE,12117,0.1413257446152357,0.13956877233689235,0.312909283049829,,,
PANEL A: 2017-base long difference (no Dec interaction),share_frac_policies,1. alpha_k baseline,12117,0.23619055342149448,0.08947302349224816,0.009184642732456227,,,
PANEL A: 2017-base long difference (no Dec interaction),share_frac_policies,2. + capability levels,12117,0.1685460430285786,0.08754466174222705,0.05611497970679258,,,
PANEL A: 2017-base long difference (no Dec interaction),share_frac_policies,3. + capability x Dec,12117,0.16880569145115076,0.08527257326802481,0.049603237703507164,,,
PANEL A: 2017-base long difference (no Dec interaction),share_frac_policies,4. + country FE,12117,0.1426719088004507,0.09396836833445799,0.1310727616431855,,,
"PANEL B: 2020-base difference, stock timing, with IPxDec",n_policies,1. alpha_k baseline,12276,-0.07301560321622767,0.031109511578572138,0.020238622180029253,0.0021092250221894492,0.002394328023672332,0.3797768019875931
"PANEL B: 2020-base difference, stock timing, with IPxDec",n_policies,2. + capability levels,12276,-0.18086780739903696,0.04355135982154732,5.50502042881984e-05,-0.001241746912509316,0.00260652890781334,0.6344882365535254
"PANEL B: 2020-base difference, stock timing, with IPxDec",n_policies,3. + capability x Dec,12276,-0.014078260737361471,0.052118295980375706,0.7874407240322845,-0.009102299269207982,0.0053167264195820635,0.08897495472606898
"PANEL B: 2020-base difference, stock timing, with IPxDec",n_policies,4. + country FE,12276,-0.02805804177423479,0.058357885216932304,0.6313691007859963,0.0009528975235565321,0.004302307715765312,0.8250179044245574
"PANEL B: 2020-base difference, stock timing, with IPxDec",frac_policies,1. alpha_k baseline,12276,-0.018578273747150046,0.03525502337202239,0.5989994018689757,0.0019191323024680515,0.00369750932851251,0.6045072372154432
"PANEL B: 2020-base difference, stock timing, with IPxDec",frac_policies,2. + capability levels,12276,-0.04620205412635242,0.030763059254386573,0.1352475066965253,-0.0001407958848036318,0.0039702100288385184,0.9717579491282062
"PANEL B: 2020-base difference, stock timing, with IPxDec",frac_policies,3. + capability x Dec,12276,0.03734288698538475,0.04243322380881711,0.3802554283671149,-0.004521829443431761,0.005199871611916914,0.38591552227162573
"PANEL B: 2020-base difference, stock timing, with IPxDec",frac_policies,4. + country FE,12276,0.0057822544188004445,0.03292690375032462,0.860839708521524,0.0016378856870631787,0.0037768736592098434,0.6651612949645376
"PANEL B: 2020-base difference, stock timing, with IPxDec",share_n_policies,1. alpha_k baseline,12276,0.020021085317880823,0.11713933002743686,0.8645210281611624,0.018264392518409736,0.007602780643768761,0.01752198613543343
"PANEL B: 2020-base difference, stock timing, with IPxDec",share_n_policies,2. + capability levels,12276,-0.024499558331238236,0.1140276870295849,0.8301732055829332,0.017189384088626285,0.007284831349254016,0.01959060859551265
"PANEL B: 2020-base difference, stock timing, with IPxDec",share_n_policies,3. + capability x Dec,12276,0.06866568824053436,0.10927509623736169,0.5307206346982853,0.009791623995743898,0.005313174283252528,0.0673314602154893
"PANEL B: 2020-base difference, stock timing, with IPxDec",share_n_policies,4. + country FE,12276,0.035928269893191464,0.10094684636743562,0.7224093165636951,0.006258948308084127,0.0033638790936083027,0.06476672177473808
"PANEL B: 2020-base difference, stock timing, with IPxDec",share_frac_policies,1. alpha_k baseline,12276,0.03794118514349566,0.047300329523199,0.4237531463013027,0.008384191158337712,0.003656625584105897,0.023254385233509423
"PANEL B: 2020-base difference, stock timing, with IPxDec",share_frac_policies,2. + capability levels,12276,0.018197056933093883,0.049246124320254686,0.7122704062938561,0.006646682663512355,0.003456345365153431,0.056382700009702136
"PANEL B: 2020-base difference, stock timing, with IPxDec",share_frac_policies,3. + capability x Dec,12276,0.056953991437509344,0.04552113976068126,0.21283892132118387,0.0037592804398450005,0.0031650027898904006,0.2368158418317139
"PANEL B: 2020-base difference, stock timing, with IPxDec",share_frac_policies,4. + country FE,12276,0.03792749981501324,0.04270507866089192,0.37590430894741145,0.0014162466846050672,0.0017762982998561082,0.42654421700982326
