measure,brackets,wt,N,F,pF,post,sig
n_policies,DECILE,weighted,"118,278",5.36,0.0001,-0.3972,4/6
n_policies,DECILE,unweighted,"118,278",2.21,0.0559,0.0097,0/6
n_policies,QUINTILE,weighted,"118,512",3.94,0.0021,-0.4638,5/6
n_policies,QUINTILE,unweighted,"118,512",2.81,0.0184,0.0147,0/6
n_policies,TERCILE,weighted,"118,530",33.74,0.0,-0.5688,6/6
n_policies,TERCILE,unweighted,"118,530",2.89,0.0158,0.0104,0/6
frac_policies,DECILE,weighted,"118,278",14.99,0.0,-0.141,2/6
frac_policies,DECILE,unweighted,"118,278",3.34,0.0066,-0.0311,0/6
frac_policies,QUINTILE,weighted,"118,512",5.09,0.0002,-0.2173,4/6
frac_policies,QUINTILE,unweighted,"118,512",4.14,0.0014,-0.0305,0/6
frac_policies,TERCILE,weighted,"118,530",57.1,0.0,-0.2475,4/6
frac_policies,TERCILE,unweighted,"118,530",4.86,0.0004,-0.0346,0/6
share_n_policies,DECILE,weighted,"118,278",10.3,0.0,-0.5581,2/6
share_n_policies,DECILE,unweighted,"118,278",0.87,0.4996,0.0113,0/6
share_n_policies,QUINTILE,weighted,"118,512",5.3,0.0002,-0.5406,2/6
share_n_policies,QUINTILE,unweighted,"118,512",0.99,0.4233,0.0171,0/6
share_n_policies,TERCILE,weighted,"118,530",10.35,0.0,-0.667,3/6
share_n_policies,TERCILE,unweighted,"118,530",0.56,0.7284,0.0096,0/6
share_frac_policies,DECILE,weighted,"118,278",7.55,0.0,0.2403,0/6
share_frac_policies,DECILE,unweighted,"118,278",0.99,0.428,-0.0042,0/6
share_frac_policies,QUINTILE,weighted,"118,512",4.31,0.001,0.2073,0/6
share_frac_policies,QUINTILE,unweighted,"118,512",0.92,0.4681,-0.0061,0/6
share_frac_policies,TERCILE,weighted,"118,530",5.78,0.0001,0.1447,0/6
share_frac_policies,TERCILE,unweighted,"118,530",0.93,0.461,-0.0054,0/6
