measure,spec,k_IPxDec,k_IPxDec_se,k_IPxDec_p,k_IPz,k_IPz_se,k_IPz_p,k_N,ki_IPxDec,ki_IPxDec_se,ki_IPxDec_p,ki_IPz,ki_IPz_se,ki_IPz_p,ki_N
n_policies,a. pure DiD,-0.06821976950132874,0.09039514250306896,0.4515079201501182,-0.06183333590251246,0.08019697230803419,0.4417921128025357,13208,0.08220428135835524,0.0648551265931544,0.20674944795482264,0.1002001074492117,0.09222171444004792,0.27882720881018197,13208
n_policies,b. + pre-trend,-0.035344020865831875,0.07298293748475654,0.628827006105324,-0.059516923276938964,0.06743871924679692,0.37876462256519305,13208,0.09532135105534635,0.0639965251949506,0.13825929009317317,0.09242848336603127,0.08750027828928124,0.29235592633983276,13208
n_policies,c. LDV (initial only),-0.017928644000528942,0.09245936231987538,0.8464847120490235,-0.03981590645136548,0.07542413012503693,0.5982782026768558,13208,0.09678871767447642,0.06687909081506963,0.14972129735098672,0.09686335308268987,0.09342430108893524,0.30133184597412854,13208
n_policies,d. both      [SS3p],-0.03241865900230347,0.08516561012166393,0.703946425593249,-0.05800706290010974,0.07301066825186982,0.42803810735465664,13208,0.08965198346449083,0.061181476939604684,0.1447182649007197,0.09305864401285197,0.08720961518335306,0.28749026703675584,13208
frac_policies,a. pure DiD,0.005099598392504101,0.10082173240330845,0.9597207325425055,0.05171343460990032,0.08764676980220615,0.5559788620172612,13208,0.08531614439357828,0.10320183533629734,0.40959828081302296,0.12415928455782307,0.09911443703071258,0.21208176632313203,13208
frac_policies,b. + pre-trend,0.039714972934820854,0.09188275439049297,0.6661313347945175,0.06796757081386212,0.0778916771578006,0.3841465016076362,13208,0.10776685101870369,0.10473381819156123,0.3049956660105524,0.1365588609301317,0.09765766346200068,0.16387559812906138,13208
frac_policies,c. LDV (initial only),0.0417888879300029,0.08930389547479793,0.6404410899978028,0.0711575636361569,0.07793609715400689,0.36255380722119135,13208,0.1028048544900579,0.10372233473343938,0.3230527044198883,0.1343345846075325,0.09846251945250045,0.17431300936409566,13208
frac_policies,d. both      [SS3p],0.04193981655827477,0.08737839198401204,0.6318739761770318,0.06919297031082672,0.07526549646576002,0.3592628793356736,13208,0.10082698081008774,0.10483025616886076,0.3375430585690591,0.13241720285699626,0.0966453825000336,0.1724950217215322,13208
share_n_policies,a. pure DiD,0.05387931097681822,0.1777720434938331,0.7622076961090753,0.06343860627071302,0.17781364055973048,0.7217169508185899,13208,0.3138450888445506,0.07071278309901449,1.6470115945299568e-05,0.3149364473058024,0.09900414361246149,0.0017515756534836058,13208
share_n_policies,b. + pre-trend,0.04829622211078264,0.15040893257017782,0.7485389523543566,0.027706442945027117,0.14544011034663162,0.8491495665254578,13208,0.3537603506326407,0.07655839782972618,7.63892259381116e-06,0.34528045369442784,0.09918162998886895,0.0006377441333178524,13208
share_n_policies,c. LDV (initial only),0.1124458040023159,0.1801299236921908,0.5333214847827414,0.10498589955053761,0.17372486155421657,0.5464540922512442,13208,0.3706695789909316,0.10497727962716784,0.0005361105994110549,0.37089079334212177,0.12014630733189605,0.002370055488330136,13208
share_n_policies,d. both      [SS3p],0.05556376449040056,0.14148945364529733,0.6950404108836752,0.034001518405946805,0.1361351441897375,0.8030794639861745,13208,0.3528683797713493,0.08886444500615116,0.00010647931484930595,0.3443348236899968,0.10192839078907731,0.0009091251513420051,13208
share_frac_policies,a. pure DiD,0.3451653452359051,0.21794535634605472,0.11515976890792445,0.49469904791662817,0.17762031942976453,0.005972583794784825,13208,0.3613630505429545,0.19329605662988514,0.06331734012778623,0.4586715375096126,0.1592230846929725,0.0044921308457370746,13208
share_frac_policies,b. + pre-trend,0.36831012128671065,0.21494409854629745,0.08848444276650458,0.5078557466231894,0.17565104582649044,0.004350568845685743,13208,0.4025279526569405,0.17874228862233377,0.02563312784398497,0.4973002034797469,0.14796831131305674,0.0009642595739811632,13208
share_frac_policies,c. LDV (initial only),0.4040418620067796,0.2273089411676823,0.07731685532639676,0.5487394997713902,0.18937604507868544,0.004267772966714656,13208,0.4229421691817826,0.18791391339969044,0.02571580339849855,0.5261598727284463,0.1573994848462659,0.0010248482001373738,13208
share_frac_policies,d. both      [SS3p],0.3783488708241973,0.1979483397502745,0.0576824471165196,0.5175447874711477,0.1563171866734684,0.0011411308236199957,13208,0.39401574399960826,0.1834254169836777,0.03315612798906464,0.4875929676808614,0.1474320724093463,0.0011550663315937904,13208
