brackets,weighting,tau,coef,se,p
DECILE,weighted,-6,-0.07728346453425823,0.13773100197768237,0.5754731684450864
DECILE,weighted,-5,-0.027667553369045833,0.0845488999784553,0.7439007060251837
DECILE,weighted,-4,-0.03922656389214625,0.06175032347207107,0.5261435246341795
DECILE,weighted,-3,-0.04143761433568582,0.05387188063237854,0.44287465556142913
DECILE,weighted,-2,-0.12829048306395788,0.0322374913953901,0.00010299271374236696
DECILE,weighted,0,-0.05435317005639947,0.034361749837549124,0.11560031251412006
DECILE,weighted,1,-0.11503972215178802,0.05719519909344879,0.045906194330897154
DECILE,weighted,2,-0.1690829639404887,0.07601050797996944,0.02746541851755646
DECILE,weighted,3,-0.25948457613464515,0.16524869408117795,0.11825715601014997
DECILE,weighted,4,-0.5148009552205104,0.37162487722029325,0.16782842414711352
DECILE,weighted,5,0.2666397565753517,0.3253706267217599,0.41367881724853683
DECILE,unweighted,-6,-0.11600197901453224,0.07243561998580143,0.11117870542478459
DECILE,unweighted,-5,-0.0685146508856629,0.03876230586787379,0.07897198894493762
DECILE,unweighted,-4,-0.06661059517297019,0.03290652882122505,0.044549045028206224
DECILE,unweighted,-3,-0.05161616148063218,0.029833052878843264,0.08545898757197068
DECILE,unweighted,-2,-0.05748826836328376,0.034966270683176565,0.10204676775457089
DECILE,unweighted,0,-0.027924880447485898,0.017579618269959827,0.11408057421083306
DECILE,unweighted,1,-0.06147363446867643,0.03528801128760078,0.08335111659315109
DECILE,unweighted,2,-0.04231416250661941,0.03494183311573719,0.22762100649090855
DECILE,unweighted,3,-0.03031981420274731,0.023731971940058497,0.20317662600121267
DECILE,unweighted,4,-0.012107015240961295,0.019407603496161534,0.5335965508542064
DECILE,unweighted,5,-0.012214720674623694,0.015526268212431997,0.4325714438419479
QUINTILE,weighted,-6,-0.19818397104271618,0.0702092606021429,0.005343543147161123
QUINTILE,weighted,-5,-0.08955851117367618,0.041762303170371745,0.03344912867218164
QUINTILE,weighted,-4,-0.08581390128205099,0.03267386449236162,0.009437310039249747
QUINTILE,weighted,-3,-0.07837936419363528,0.027919867636053593,0.005594477561527089
QUINTILE,weighted,-2,-0.1812667186621517,0.03730380854596774,2.711082902395745e-06
QUINTILE,weighted,0,-0.09441621460291655,0.02535317415044075,0.0002682914001899128
QUINTILE,weighted,1,-0.19065851718178303,0.045792117144859666,5.023000234660735e-05
QUINTILE,weighted,2,-0.2518618909049746,0.07037648599047323,0.00045278167369078304
QUINTILE,weighted,3,-0.342389599694725,0.1522552124731884,0.02584138959076898
QUINTILE,weighted,4,-0.5319023002757182,0.3391690878224596,0.1187267765678941
QUINTILE,weighted,5,0.1075134005149367,0.23746707819041674,0.6513193894357145
QUINTILE,unweighted,-6,-0.1169250562117412,0.07342731581543487,0.11319912234079599
QUINTILE,unweighted,-5,-0.06878460584321604,0.03864942004555577,0.0769536589854023
QUINTILE,unweighted,-4,-0.06602166387910022,0.03278363859692485,0.04563934828097849
QUINTILE,unweighted,-3,-0.05123450080717632,0.029890316253964797,0.0883798700490892
QUINTILE,unweighted,-2,-0.05781596480633058,0.03591512902441582,0.10934280843104949
QUINTILE,unweighted,0,-0.02745855941518387,0.0177127720102425,0.122994943684124
QUINTILE,unweighted,1,-0.061313043127329804,0.03560420305240192,0.08691889324330182
QUINTILE,unweighted,2,-0.04342598834827918,0.03617338576228534,0.23165726833194
QUINTILE,unweighted,3,-0.030231645659416946,0.023054467806883052,0.19156261802013752
QUINTILE,unweighted,4,-0.008484942049434332,0.016072901172438932,0.598271207983456
QUINTILE,unweighted,5,-0.01189414462975457,0.01688888333120878,0.4822584224770792
TERCILE,weighted,-6,-0.2630973953707728,0.05073145393201822,6.188536472162554e-07
TERCILE,weighted,-5,-0.13394297123015722,0.02649355270572756,1.1242523927368353e-06
TERCILE,weighted,-4,-0.11295085315013852,0.019020675573837954,1.6386122014822035e-08
TERCILE,weighted,-3,-0.10349599696794823,0.014859224535365596,7.310951843919611e-11
TERCILE,weighted,-2,-0.18205552932047683,0.014714546229093085,0.0
TERCILE,weighted,0,-0.11825755885966319,0.012166977900901065,0.0
TERCILE,weighted,1,-0.22273133076518917,0.020075109732745264,0.0
TERCILE,weighted,2,-0.2569957329062494,0.030836250646643318,2.8199664825478976e-14
TERCILE,weighted,3,-0.38826884814267704,0.11562782250466525,0.0009738987700096402
TERCILE,weighted,4,-0.5148523454434755,0.3054067695679335,0.09371456736876072
TERCILE,weighted,5,0.015924677878405628,0.13925499005731867,0.9090935952992387
TERCILE,unweighted,-6,-0.11531179819924751,0.07152990196059586,0.10884453648349246
TERCILE,unweighted,-5,-0.06782912414076993,0.037355651357385604,0.07121074000066274
TERCILE,unweighted,-4,-0.06464312945654595,0.03247531675465739,0.04817376115588834
TERCILE,unweighted,-3,-0.04997866174334665,0.029419116179022202,0.09122084344266312
TERCILE,unweighted,-2,-0.056149277841010856,0.03572913219024091,0.11796450272739056
TERCILE,unweighted,0,-0.028580462322820147,0.018526537066449463,0.12481334636333341
TERCILE,unweighted,1,-0.06257630504290856,0.03712473130000436,0.09375761964588092
TERCILE,unweighted,2,-0.04541696225453801,0.037161128091274455,0.22337848977307684
TERCILE,unweighted,3,-0.03405347629731922,0.025908642908902026,0.19053578346015487
TERCILE,unweighted,4,-0.015623583933241486,0.01467810168625411,0.28868682336703255
TERCILE,unweighted,5,-0.021416459965275875,0.02036195532772607,0.2944255075749487
