brackets,weighting,tau,coef,se,p
DECILE,weighted,-6,-0.06095835257858072,0.2801356886743995,0.8280057276329336
DECILE,weighted,-5,-0.004536455351575586,0.16131157287180134,0.9775983743202681
DECILE,weighted,-4,-0.038908167628480525,0.10821418722357212,0.7196423365564786
DECILE,weighted,-3,-0.03802517520189066,0.08711483826658623,0.6630449555051241
DECILE,weighted,-2,-0.1542213378898636,0.05485257659749862,0.005524245609637601
DECILE,weighted,0,-0.09877006429649465,0.06096249543006345,0.1070922722632528
DECILE,weighted,1,-0.17622206968739357,0.07831538151667428,0.025752334452583625
DECILE,weighted,2,-0.2653549349293313,0.1131709762509532,0.020224175071577255
DECILE,weighted,3,-0.5783775980800506,0.23361128279480572,0.014296658600146506
DECILE,weighted,4,-1.1023589592133456,0.43014988050279923,0.011273442268110445
DECILE,weighted,5,-0.16185459697260485,0.18490511110738347,0.3826544361735529
DECILE,unweighted,-6,-0.08029899732819454,0.07239682933208122,0.26896942947355695
DECILE,unweighted,-5,-0.051826443142612026,0.041712717698391064,0.2158186577107617
DECILE,unweighted,-4,-0.04747826350764363,0.03535169328166349,0.18109673313303154
DECILE,unweighted,-3,-0.0344464320822528,0.0317781195027618,0.27995129956057463
DECILE,unweighted,-2,-0.033333418746062285,0.030531311496594583,0.2765126724013527
DECILE,unweighted,0,-0.00526199961988278,0.005841354464585097,0.3689899229588238
DECILE,unweighted,1,-0.019056885410983233,0.01461470806454213,0.19405504728681788
DECILE,unweighted,2,0.022026725581005713,0.018457263467196047,0.23441919361822672
DECILE,unweighted,3,0.023092878410393248,0.026982412066869774,0.3933148121022092
DECILE,unweighted,4,0.03938360274225603,0.05014295005416587,0.43332312535715367
DECILE,unweighted,5,-0.0020698333300797605,0.032263314266501114,0.9489244814212534
QUINTILE,weighted,-6,-0.28122856517532235,0.16493607915670525,0.09005087367312536
QUINTILE,weighted,-5,-0.11280501301323917,0.09491907048991423,0.23636006105900953
QUINTILE,weighted,-4,-0.11698683458032126,0.06924370055698556,0.09300201377194828
QUINTILE,weighted,-3,-0.10450979069258436,0.054531119683739804,0.05701745002028158
QUINTILE,weighted,-2,-0.25400529810638145,0.07524657595173782,0.0009170842912589183
QUINTILE,weighted,0,-0.14972243353221978,0.04635836241403981,0.001494060595164326
QUINTILE,weighted,1,-0.2919976967274959,0.08048961466597529,0.00038017618975549894
QUINTILE,weighted,2,-0.39429602977441697,0.12320474202040645,0.0016448695054049889
QUINTILE,weighted,3,-0.6405021944436552,0.22096012864029094,0.004253499934206095
QUINTILE,weighted,4,-1.054920649273534,0.44827709214242634,0.0197799879448759
QUINTILE,weighted,5,-0.25107275641312393,0.1680524656500031,0.13707032694155963
QUINTILE,unweighted,-6,-0.08248496853380065,0.07330698336870074,0.26212883279480637
QUINTILE,unweighted,-5,-0.05349723538357057,0.041202748303550155,0.19595427973789237
QUINTILE,unweighted,-4,-0.04784372552145869,0.03507730314864772,0.17442951536718865
QUINTILE,unweighted,-3,-0.03453401238585857,0.031564741350778344,0.2755096271031432
QUINTILE,unweighted,-2,-0.03358712162186811,0.031023367009246662,0.2805385952775179
QUINTILE,unweighted,0,-0.0036651360508327116,0.004501277303958192,0.4166719496645257
QUINTILE,unweighted,1,-0.016803523663897032,0.01354826729969938,0.21662537765303225
QUINTILE,unweighted,2,0.025204563479129156,0.016942360580748998,0.13873625332820128
QUINTILE,unweighted,3,0.027938758825250747,0.0261184233930137,0.2863093534266188
QUINTILE,unweighted,4,0.04837672263154406,0.04779176661016863,0.3128966105076658
QUINTILE,unweighted,5,0.007100439988618135,0.02907803355376568,0.807388547005575
TERCILE,weighted,-6,-0.3935421987630853,0.1267657120048123,0.0022415925626595445
TERCILE,weighted,-5,-0.19365755925242456,0.06352782558551853,0.0026779870483502055
TERCILE,weighted,-4,-0.17259119298811149,0.04391795875211586,0.00012452223003900365
TERCILE,weighted,-3,-0.1564928976803088,0.03383316747527235,7.489110702030288e-06
TERCILE,weighted,-2,-0.28329624966016453,0.032679156232386264,3.774758283725532e-15
TERCILE,weighted,0,-0.1997160943213493,0.027950385425784617,2.6970869981823853e-11
TERCILE,weighted,1,-0.3696669897737147,0.041354371677541,6.661338147750939e-16
TERCILE,weighted,2,-0.4280656776536703,0.05716800103655069,3.921085678371128e-12
TERCILE,weighted,3,-0.7976139928369939,0.17700676685828268,1.2410887700875506e-05
TERCILE,weighted,4,-1.2054649293137218,0.38453614980419026,0.0020337313763536535
TERCILE,weighted,5,-0.412247983281413,0.16301144730401604,0.012372781147841572
TERCILE,unweighted,-6,-0.07899278896432115,0.06964248236809148,0.2583201558098054
TERCILE,unweighted,-5,-0.051197221164796046,0.03878712560771862,0.18866769669858052
TERCILE,unweighted,-4,-0.04714119980224736,0.03438656259031722,0.17225078983446895
TERCILE,unweighted,-3,-0.033560249214236046,0.030417308764809536,0.2714819165332405
TERCILE,unweighted,-2,-0.032993329646593586,0.03068941293120546,0.28390259086193925
TERCILE,unweighted,0,-0.004927300654812707,0.005754462218102169,0.3930897615019504
TERCILE,unweighted,1,-0.019034254955552738,0.016326743907828234,0.24535435846360354
TERCILE,unweighted,2,0.021678400977140112,0.014037326480895817,0.12441029607150211
TERCILE,unweighted,3,0.02445672115783186,0.02247699221383383,0.2781379016806502
TERCILE,unweighted,4,0.04120880374530296,0.04059826196658339,0.3115645750354017
TERCILE,unweighted,5,-0.000986529333598969,0.027489735842150288,0.9714154295577249
