brackets,weighting,tau,coef,se,p
DECILE,weighted,-6,-0.09315000145097237,0.09416884765148606,0.32401440865234754
DECILE,weighted,-5,0.013565287278479459,0.09640819140150735,0.8882721754104979
DECILE,weighted,-4,-0.03038676819477931,0.08091874646447791,0.7077517123119417
DECILE,weighted,-3,-0.0275214424776038,0.08591394926814928,0.7491155203412492
DECILE,weighted,-2,-0.08501805893756989,0.07598791883052523,0.2648262849724201
DECILE,weighted,0,0.0030774666908024006,0.05222783027914748,0.9530836068029438
DECILE,weighted,1,-0.05889070029252666,0.0966226054945093,0.5430317249858363
DECILE,weighted,2,-0.17393281341850664,0.1802478846509644,0.335966248267733
DECILE,weighted,3,0.008477925466454471,0.38650157738676877,0.9825261221363633
DECILE,weighted,4,-0.13266849839923164,0.7128960606063869,0.8525951636589877
DECILE,weighted,5,1.795519280189532,1.453718053827047,0.21853035600196113
DECILE,unweighted,-6,-0.0453420936095856,0.024194629917187883,0.06267993568337937
DECILE,unweighted,-5,-0.028238846300749645,0.015863433956067482,0.07688531713100422
DECILE,unweighted,-4,-0.032515453059305116,0.016645813701838826,0.052456729752622167
DECILE,unweighted,-3,-0.025960614706839875,0.013666627657205957,0.05922470795534385
DECILE,unweighted,-2,-0.021817743400705886,0.013325570259747961,0.10346543966271926
DECILE,unweighted,0,-0.002440125547047989,0.007493237365030705,0.745104056007035
DECILE,unweighted,1,-0.01555204334743483,0.014464595179928555,0.28385440709832466
DECILE,unweighted,2,0.0005997070810346326,0.01392791346555882,0.9657071059763618
DECILE,unweighted,3,4.531777378439639e-05,0.01910919723654226,0.9981106530272217
DECILE,unweighted,4,-0.004811565191311879,0.02182497395662932,0.8257827069769612
DECILE,unweighted,5,-0.0031267350625800733,0.016149321508043053,0.8467148271644807
QUINTILE,weighted,-6,-0.08741484992061842,0.09810276061221307,0.3741899187767488
QUINTILE,weighted,-5,-0.020393018749068775,0.0905463533416677,0.8220837014271092
QUINTILE,weighted,-4,-0.05474296793178444,0.07664509260258195,0.47608209084616027
QUINTILE,weighted,-3,-0.05559812738256275,0.07288949721835254,0.4466814538565447
QUINTILE,weighted,-2,-0.1502518036624289,0.05515401454901851,0.007135569158361887
QUINTILE,weighted,0,-0.023684602478684296,0.05991390130644672,0.6931211810920916
QUINTILE,weighted,1,-0.10654054055873502,0.09754010284006191,0.2762952742021527
QUINTILE,weighted,2,-0.24269651843379816,0.18748579875960292,0.19729765568937685
QUINTILE,weighted,3,0.01967693695099728,0.4268068081281512,0.9632838265071819
QUINTILE,weighted,4,-0.07503144076644797,0.7415032511331914,0.919523113433224
QUINTILE,weighted,5,1.671848230213524,1.414330062215948,0.23886531778324716
QUINTILE,unweighted,-6,-0.045496173334664713,0.024822379051765767,0.06861347330529632
QUINTILE,unweighted,-5,-0.02881634278545942,0.015898489436218244,0.0717126307016911
QUINTILE,unweighted,-4,-0.03113110411525829,0.01592718806587505,0.0523114571930261
QUINTILE,unweighted,-3,-0.024784596023362818,0.013203317977689533,0.062252184007570266
QUINTILE,unweighted,-2,-0.020581875796163315,0.012719895056394032,0.10754273430608374
QUINTILE,unweighted,0,-0.0022415084316449157,0.006995139838151793,0.74903935003179
QUINTILE,unweighted,1,-0.014229657040858108,0.013504077165133247,0.2935376875169007
QUINTILE,unweighted,2,9.5301975272337e-05,0.012811092148630888,0.9940735076944467
QUINTILE,unweighted,3,-0.00148274488399552,0.01827531211886883,0.9354333111861157
QUINTILE,unweighted,4,-0.006972307628648385,0.021918810741796673,0.7508111891815767
QUINTILE,unweighted,5,-0.011661826415819492,0.021215425875657723,0.5832734101972359
TERCILE,weighted,-6,-0.23574992584537066,0.14235721136470977,0.09960184412061124
TERCILE,weighted,-5,-0.09609157032479318,0.08974644751231615,0.2858583832295867
TERCILE,weighted,-4,-0.11158540457603663,0.07435088030299436,0.13530832877270882
TERCILE,weighted,-3,-0.10167369265722731,0.07024834975094404,0.14968579951730732
TERCILE,weighted,-2,-0.19029396455442454,0.06683029031712984,0.00496453795281071
TERCILE,weighted,0,-0.06375294466715174,0.07950419918405446,0.4237679362611393
TERCILE,weighted,1,-0.18095516039264103,0.12552146174666354,0.15129140410952968
TERCILE,weighted,2,-0.2953026597916126,0.1972336023637786,0.1362342854934373
TERCILE,weighted,3,-0.04345710485232592,0.4133730564351775,0.9164011196465802
TERCILE,weighted,4,-0.11841583149231792,0.7151323118931006,0.8686843296226505
TERCILE,weighted,5,1.570166118792696,1.3122223878905512,0.2331803175485474
TERCILE,unweighted,-6,-0.045922461549157835,0.025136214484352642,0.06950419631177707
TERCILE,unweighted,-5,-0.028922179326888956,0.01604186474810618,0.07321476333869081
TERCILE,unweighted,-4,-0.031019606176217664,0.015979732009585693,0.05392953102236531
TERCILE,unweighted,-3,-0.024187074052111936,0.013214159233483713,0.06898491481542601
TERCILE,unweighted,-2,-0.01948009203361748,0.012397696312464974,0.1180247350431558
TERCILE,unweighted,0,-0.0021268394004504004,0.0072255491735203625,0.7688583281610888
TERCILE,unweighted,1,-0.014165437176528267,0.013738146220317406,0.3039926951159182
TERCILE,unweighted,2,-0.00047116032019460464,0.012783410869379203,0.9706431768236699
TERCILE,unweighted,3,-0.0003824720669531898,0.01777288421141071,0.9828567129539412
TERCILE,unweighted,4,-0.0046799739131325605,0.020868750672631813,0.8228327241685278
TERCILE,unweighted,5,-0.010512502569910322,0.017581168812018204,0.5506941516377699
