brackets,weighting,tau,coef,se,p
DECILE,weighted,-6,-0.263014351672269,0.3692093083733516,0.47723454995815184
DECILE,weighted,-5,-0.09206745608385299,0.15928174420741975,0.5640363388425311
DECILE,weighted,-4,-0.1290783674403176,0.1076050911190279,0.2320210328122425
DECILE,weighted,-3,-0.1021376842729923,0.11391753371191739,0.3712344407974275
DECILE,weighted,-2,-0.2614851823090428,0.10555876087023824,0.014245009717283486
DECILE,weighted,0,-0.03314028638335219,0.08637569864231051,0.7017095254766277
DECILE,weighted,1,-0.05525775948507795,0.19509031049113662,0.7773442924295768
DECILE,weighted,2,-0.49720718100312744,0.3160576116194052,0.11758726346343695
DECILE,weighted,3,-0.6337180757531119,0.2584736469459126,0.015251395719647842
DECILE,weighted,4,-1.379860940287962,0.5079853370678598,0.007300153402994614
DECILE,weighted,5,-0.7495605869355931,0.4459201620879658,0.0946571139652721
DECILE,unweighted,-6,-0.04551038336083183,0.0255370783943916,0.07655609174716971
DECILE,unweighted,-5,-0.031049242409662156,0.016739625688139168,0.06539349030885888
DECILE,unweighted,-4,-0.03131557552291501,0.01698588877292492,0.06702099105672055
DECILE,unweighted,-3,-0.024243041420470932,0.012529223299280154,0.05470008199179577
DECILE,unweighted,-2,-0.01957017591272085,0.011643161147738617,0.09467656057317098
DECILE,unweighted,0,3.813931376350613e-05,0.00863074599098366,0.9964794612824752
DECILE,unweighted,1,0.0001902968921747201,0.013369780662699868,0.9886608978251687
DECILE,unweighted,2,0.028039582165216962,0.016507545896436836,0.0912696018569501
DECILE,unweighted,3,0.01801822395702644,0.016282289291437047,0.27006152900391633
DECILE,unweighted,4,0.017711578079299323,0.01901336743337694,0.35293076267998
DECILE,unweighted,5,0.004018959196236242,0.01746351112905671,0.8182704831133614
QUINTILE,weighted,-6,-0.5293900478627163,0.3429860542781769,0.12462002779880121
QUINTILE,weighted,-5,-0.2257674958572107,0.14365407363839133,0.11794622248953046
QUINTILE,weighted,-4,-0.216181863495162,0.09875687270674167,0.029990723966484056
QUINTILE,weighted,-3,-0.17813681613359122,0.10053855386843412,0.07825807595138135
QUINTILE,weighted,-2,-0.37251698804902117,0.10936421524451277,0.0008263055682751208
QUINTILE,weighted,0,-0.07650062240041285,0.09793785297876471,0.4358480291409461
QUINTILE,weighted,1,-0.15337112254879923,0.21741776083846617,0.48153678429233304
QUINTILE,weighted,2,-0.5639673071198352,0.30266690092625514,0.06418284525231255
QUINTILE,weighted,3,-0.6085357856226032,0.2778058947153803,0.029881652484015087
QUINTILE,weighted,4,-1.1637280373712333,0.5289261013190693,0.029175978074799547
QUINTILE,weighted,5,-0.6777533344211295,0.46582946774015555,0.14757458671536972
QUINTILE,unweighted,-6,-0.050760386448815635,0.028743638732884005,0.0792392432504736
QUINTILE,unweighted,-5,-0.03363584225607548,0.018567469164446657,0.07186380776388712
QUINTILE,unweighted,-4,-0.031553878218934045,0.01756896252682716,0.07431296197465831
QUINTILE,unweighted,-3,-0.024223639363273347,0.012965609372497957,0.06348261346120321
QUINTILE,unweighted,-2,-0.019162946769352415,0.01181193235550973,0.10662868411421789
QUINTILE,unweighted,0,0.0018213666311806766,0.008488800036587084,0.8303728419225902
QUINTILE,unweighted,1,0.0035053674701163847,0.012839277411438092,0.7851779169023176
QUINTILE,unweighted,2,0.03281169870466648,0.018240657561678707,0.07386349758342514
QUINTILE,unweighted,3,0.024279082358121637,0.016261905819136224,0.13733446879061528
QUINTILE,unweighted,4,0.025055441229481765,0.01885826825783008,0.18579744127995812
QUINTILE,unweighted,5,0.014937064880522386,0.015388152732928335,0.3331168853026609
TERCILE,weighted,-6,-0.8429509876776172,0.37632730990409086,0.02642218473305502
TERCILE,weighted,-5,-0.40052833375212504,0.16479753760975716,0.016146041434023095
TERCILE,weighted,-4,-0.3551530906449855,0.10278946550062679,0.0006982656956275868
TERCILE,weighted,-3,-0.29781196826973333,0.09248062040115854,0.0015409692762817784
TERCILE,weighted,-2,-0.49285477524116444,0.09937192847365034,1.7333600370594837e-06
TERCILE,weighted,0,-0.1986009545513833,0.11687008124435933,0.09112999300344415
TERCILE,weighted,1,-0.39272695558715126,0.23376373202498207,0.09483503142179117
TERCILE,weighted,2,-0.6961763885573793,0.24068431792113737,0.004334645935601067
TERCILE,weighted,3,-0.7507555321958588,0.2877819958179216,0.009916405746560164
TERCILE,weighted,4,-1.1724624389817835,0.5709497355144301,0.041589927576497265
TERCILE,weighted,5,-0.791500037759333,0.4573976939667139,0.08540978117877707
TERCILE,unweighted,-6,-0.043346799124351125,0.02804560360487193,0.12410967438641762
TERCILE,unweighted,-5,-0.028145843522674404,0.018279715235374895,0.12552998550473582
TERCILE,unweighted,-4,-0.028692757915677717,0.017692352883764327,0.10675245882148632
TERCILE,unweighted,-3,-0.02000087247381757,0.013041626812237436,0.12702734456626597
TERCILE,unweighted,-2,-0.017206953249952306,0.012005370811099973,0.15366105723924717
TERCILE,unweighted,0,-0.0009552916179462218,0.008694216542363648,0.9126398997304856
TERCILE,unweighted,1,-0.0018912322815825935,0.014891493478456528,0.8990934347200321
TERCILE,unweighted,2,0.024976440599218434,0.016848889292896706,0.1401353756459094
TERCILE,unweighted,3,0.015948897790599093,0.017333789434508244,0.3588532926531751
TERCILE,unweighted,4,0.017209983202149032,0.019033281008213533,0.3671971923970152
TERCILE,unweighted,5,0.002599584478790806,0.021979847348591517,0.9059957128580205
