label,tau,coef,se,p
PANEL 1 -- all countries,-6,-0.27246909469973546,0.14811273116366172,0.06761219560515963
PANEL 1 -- all countries,-5,-0.11916388314926497,0.08759925839159259,0.1755699408196667
PANEL 1 -- all countries,-4,-0.12853985256973985,0.07341637980154493,0.08182185804741704
PANEL 1 -- all countries,-3,-0.11754859793495617,0.06976931396892655,0.09390280008552843
PANEL 1 -- all countries,-2,-0.20661735712582582,0.07139010092592435,0.004312197161087994
PANEL 1 -- all countries,0,-0.07469734004534294,0.07481167170550586,0.3195038949140865
PANEL 1 -- all countries,1,-0.20311653435594915,0.11913309181051839,0.09007355231563774
PANEL 1 -- all countries,2,-0.31265584969143734,0.18927829634856247,0.10045927289177747
PANEL 1 -- all countries,3,-0.06678860219014093,0.4172398713928898,0.8730186300907865
PANEL 1 -- all countries,4,-0.1603316756014304,0.707984267370607,0.8211205730501154
PANEL 1 -- all countries,5,1.592097690482811,1.2769667501205313,0.21423422052898156
PANEL 2 -- LOW MVA tercile,-6,0.033753243456994396,0.026811051831444374,0.21327829832737155
PANEL 2 -- LOW MVA tercile,-5,0.006749266354876383,0.008106453374843036,0.408618680517175
PANEL 2 -- LOW MVA tercile,-4,-0.01322273762080227,0.027410360813441486,0.6314026495239746
PANEL 2 -- LOW MVA tercile,-3,-0.032281506011467016,0.031106380477925924,0.30383396434422116
PANEL 2 -- LOW MVA tercile,-2,-0.005263196005137004,0.0037949614808063387,0.1709711240985634
PANEL 2 -- LOW MVA tercile,0,-0.06117990748312567,0.046401189854895664,0.19270399421447415
PANEL 2 -- LOW MVA tercile,1,-0.12923205756057277,0.10180282541964693,0.20953634430291768
PANEL 2 -- LOW MVA tercile,2,-0.11614442350711292,0.08699560356700475,0.1872585608593793
PANEL 2 -- LOW MVA tercile,3,-0.01161133156177551,0.005338831168457794,0.03387818792743569
PANEL 2 -- LOW MVA tercile,4,-0.015455704677541728,0.0048336189044596665,0.0022807461229423787
PANEL 2 -- LOW MVA tercile,5,-0.012179417658202022,0.04629063052115601,0.7934332808510047
PANEL 2 -- MID MVA tercile,-6,-0.06383118613993774,0.033115811632641115,0.05918254835172232
PANEL 2 -- MID MVA tercile,-5,-0.06339446618049613,0.029938098899819403,0.03883673859787873
PANEL 2 -- MID MVA tercile,-4,-0.05880716776411694,0.030574416212908705,0.05970733282216356
PANEL 2 -- MID MVA tercile,-3,-0.06167473676810621,0.038911929209232476,0.11880966359950262
PANEL 2 -- MID MVA tercile,-2,-0.028061956486197567,0.015549123150313206,0.0766943247638796
PANEL 2 -- MID MVA tercile,0,-0.0024075722211887307,0.002546117857752095,0.3485720861162249
PANEL 2 -- MID MVA tercile,1,1.18020517170345e-05,0.005429848637698242,0.9982737686661223
PANEL 2 -- MID MVA tercile,2,0.07413253154324344,0.01563799773018993,1.594404579763342e-05
PANEL 2 -- MID MVA tercile,3,0.19481733762073503,0.11128015794618762,0.08567825941224516
PANEL 2 -- MID MVA tercile,4,-0.21191481019255312,0.11756994054565598,0.07705547220179976
PANEL 2 -- MID MVA tercile,5,-0.4514238446722279,0.2721564274786605,0.10297587985211942
PANEL 2 -- HIGH MVA tercile,-6,-0.241806408081725,0.1399286945294654,0.0896910940403195
PANEL 2 -- HIGH MVA tercile,-5,-0.09587229905130036,0.08859841709090407,0.28401695723804243
PANEL 2 -- HIGH MVA tercile,-4,-0.11167500628929,0.07483212713930608,0.14142961916203878
PANEL 2 -- HIGH MVA tercile,-3,-0.10147293960165243,0.07184011262033592,0.16354534856702796
PANEL 2 -- HIGH MVA tercile,-2,-0.19297227313607265,0.06990790778539367,0.007869674981148655
PANEL 2 -- HIGH MVA tercile,0,-0.05441506849521075,0.0710364580576494,0.44700233465918404
PANEL 2 -- HIGH MVA tercile,1,-0.17322179090062817,0.11514433960932052,0.13830826854384437
PANEL 2 -- HIGH MVA tercile,2,-0.2945924499294734,0.19530485944583345,0.137288156735905
PANEL 2 -- HIGH MVA tercile,3,-0.046029188944993214,0.44911473440816163,0.9187484246336053
PANEL 2 -- HIGH MVA tercile,4,-0.11815247874225634,0.73672539238683,0.8731839667928412
PANEL 2 -- HIGH MVA tercile,5,1.7470966196140283,1.4161389561362543,0.22265600547325004
