year,coef,se,p,lo,hi
2011,0.3334827661369313,0.4312307633907472,0.4393283679978506,-0.511713999134647,1.1786795314085095
2012,0.2959491872446124,0.22289914580662992,0.18426835046012524,-0.14092511072112457,0.7328234852103493
2013,-0.17679558459557887,0.08179960804699234,0.030670198970066842,-0.33711987031717666,-0.016471298873981077
2014,0.018865082701689757,0.04643845716349754,0.6845674707849045,-0.07215262083637151,0.10988278623975102
2015,-0.12758170332139482,0.07327320039877457,0.08165233735401811,-0.27119453713497893,0.016031130492189294
2016,0.006082134915471713,0.010500986033856184,0.562456556328875,-0.01449941951304452,0.026663689343987943
2017,0.0,,,,
2018,0.033086507876747315,0.08099424896892649,0.6829033936527491,-0.12565930305721906,0.19183231881071366
2019,0.07448901706041898,0.12180670905014977,0.5408457197206806,-0.1642477457532237,0.31322577987406164
2020,0.09163168056504134,0.07258562335730633,0.20680692252381006,-0.05063352701066842,0.2338968881407511
2021,0.023282150488499558,0.00869503792890234,0.007414364587662314,0.006240189303641227,0.04032411167335789
2022,0.12139318174374797,0.07958012438259561,0.12715415914959327,-0.03458099593135727,0.2773673594188532
2023,-0.04485263189412182,0.04613717659103558,0.3309718805798556,-0.13527983636091603,0.04557457257267239
2024,0.02588637496293951,0.03687334624329371,0.48265741549335894,-0.04638405566339149,0.09815680558927051
