ISIC4c,A. peak,B. maxdrop,C. rel10,D. rel25
1020,2012,2019,2019.0,2019.0
1030,2012,2019,2019.0,2019.0
1074,2018,2019,2019.0,2023.0
1079,2016,2018,,
1080,2012,2013,2018.0,2022.0
1311,2013,2019,2019.0,2020.0
1312,2018,2019,2019.0,2021.0
1391,2015,2019,2019.0,2020.0
1392,2020,2021,,
1393,2012,2019,2019.0,2021.0
1394,2018,2022,2022.0,
1399,2018,2019,2021.0,2022.0
1410,2012,2024,2019.0,2022.0
1420,2012,2019,2019.0,2019.0
1430,2013,2024,2019.0,2024.0
1512,2012,2019,2019.0,2019.0
1520,2012,2020,2019.0,2020.0
1610,2017,2018,2019.0,2020.0
1621,2012,2017,2017.0,2017.0
1622,2013,2019,2018.0,2019.0
1629,2018,2019,2022.0,
1702,2016,2019,2019.0,2020.0
1709,2018,2019,,
1811,2015,2023,2023.0,
1812,2018,2024,2024.0,2024.0
1920,2016,2017,2017.0,2019.0
2011,2022,2023,,
2013,2018,2019,,
2021,2018,2019,,
2022,2018,2022,2022.0,2023.0
2023,2017,2019,2021.0,2021.0
2029,2022,2023,,
2030,2018,2019,2019.0,2019.0
2211,2014,2015,2019.0,2019.0
2219,2021,2022,,
2220,2020,2022,2023.0,
2310,2018,2019,2022.0,
2391,2012,2019,2019.0,2020.0
2392,2015,2020,2019.0,2020.0
2393,2013,2014,2024.0,
2394,2016,2019,2018.0,2019.0
2395,2018,2019,2019.0,2019.0
2396,2018,2019,2020.0,2023.0
2399,2021,2016,,
2431,2017,2019,2019.0,2022.0
2511,2018,2019,2019.0,2019.0
2512,2017,2019,2019.0,2019.0
2513,2022,2018,2024.0,2024.0
2593,2020,2023,2023.0,
2599,2018,2023,2023.0,
2610,2012,2019,2018.0,2019.0
2620,2012,2024,2019.0,2020.0
2630,2018,2019,2022.0,2024.0
2640,2014,2023,2019.0,2023.0
2651,2015,2019,2019.0,2021.0
2652,2015,2016,2017.0,2019.0
2660,2016,2017,2018.0,2019.0
2670,2016,2022,,
2680,2015,2016,,
2710,2018,2019,2019.0,2022.0
2720,2024,2017,,
2731,2015,2019,2019.0,2020.0
2732,2016,2019,2019.0,2020.0
2733,2022,2019,2024.0,
2740,2013,2023,2019.0,2022.0
2750,2013,2023,2022.0,
2790,2018,2019,2019.0,2021.0
2811,2015,2019,2021.0,2021.0
2812,2016,2017,2021.0,2023.0
2813,2018,2019,2023.0,
2814,2017,2023,2022.0,2023.0
2815,2016,2019,2019.0,2019.0
2816,2021,2023,2023.0,2024.0
2817,2014,2020,2018.0,2019.0
2818,2019,2020,2021.0,2022.0
2819,2018,2019,2022.0,2023.0
2821,2018,2023,2023.0,2023.0
2822,2017,2019,2022.0,2023.0
2823,2014,2024,2017.0,2024.0
2824,2022,2023,,
2825,2022,2023,,
2826,2015,2017,2017.0,2017.0
2829,2018,2019,2022.0,
2920,2018,2019,2023.0,2023.0
2930,2018,2019,2023.0,
3012,2021,2023,,
3020,2016,2017,2019.0,2023.0
3091,2020,2021,,
3092,2012,2022,2019.0,
3099,2015,2016,,
3100,2018,2019,2019.0,2020.0
3211,2016,2017,2017.0,2022.0
3212,2015,2019,2019.0,
3220,2012,2023,2022.0,
3230,2012,2023,2023.0,
3240,2017,2020,,
3250,2021,2023,2023.0,
3290,2022,2023,,
Wastes,2012,2013,2020.0,2021.0
