lag,measure,ladder,N,IP,IP_p,IPxDec,IPxDec_p
1,n_policies,L1 st,176943,0.11042992242380796,0.02637072274258845,0.013360393226966362,0.3304216604811687
1,n_policies,L2 +i,176943,-0.008316947433296718,0.8515016135329672,0.025341000221753805,0.2518179094011006
1,n_policies,L3 +is,175077,-0.0008215749276361686,0.8766978093804181,0.007976147164107814,0.43728602230920544
1,n_policies,L4 +is+it,174987,-0.00196725807242997,0.7427752552348892,-0.001335066493200822,0.8019420061385256
1,frac_policies,L1 st,176943,0.056644934052388615,0.0006809805532712598,-0.00039482373200461614,0.9738266145531482
1,frac_policies,L2 +i,176943,0.002989478061353727,0.7250898543509705,0.002380925782311859,0.7812117864951516
1,frac_policies,L3 +is,175077,0.00116700829899365,0.693332247950748,0.00920914666679358,0.09443482607959996
1,frac_policies,L4 +is+it,174987,-0.0005473144650295605,0.8518736847466097,0.004369719848783838,0.13930735864858668
1,n_sub,L1 st,176943,-0.015188006128674781,0.3398355275931164,0.004402573602983142,0.6337366024972415
1,n_sub,L2 +i,176943,-0.012700727094313665,0.21518745510242177,0.005241563545939434,0.5726786233099657
1,n_sub,L3 +is,175077,-0.0002951493350274235,0.8588980590818964,0.014507311962847469,4.106426290118037e-07
1,n_sub,L4 +is+it,174987,-0.0006050603489060195,0.69030428634776,0.00976803367112517,1.0266421273108506e-06
1,frac_sub,L1 st,176943,0.005087880519740618,0.656976478520872,0.004837676040695656,0.7419277442020284
1,frac_sub,L2 +i,176943,-9.847844240908491e-05,0.9862215043072131,-0.04120014203657826,0.11934205369487039
1,frac_sub,L3 +is,175077,0.006627107360897274,0.04557737617271629,-0.004276470381284314,0.34133410872490977
1,frac_sub,L4 +is+it,174987,0.0024839912359058197,0.2838957129057569,-0.008154894059795349,0.0692543985987597
1,share_n_policies,L1 st,176943,0.07017577038078848,0.0006923114390791074,0.043869120421404374,0.0018102195417610822
1,share_n_policies,L2 +i,176943,-0.08528361946622558,0.04716987804534112,0.052894956622043264,0.11384404866679065
1,share_n_policies,L3 +is,175077,-0.012551749978974543,0.1316419600528993,0.041714446489779865,0.01804913886129733
1,share_n_policies,L4 +is+it,174987,-0.009402181968943673,0.16909555687152888,0.026571712444725955,0.045477380967686276
1,share_n_sub,L1 st,176943,0.0036805525015445747,0.6586428904396824,0.0023582491350131554,0.7619361664661992
1,share_n_sub,L2 +i,176943,-0.02350803364916094,0.5888536241056777,0.017765941683707938,0.6608905525523712
1,share_n_sub,L3 +is,175077,-0.002620727073192974,0.6326817679139389,0.005526529164975453,0.32110918649234144
1,share_n_sub,L4 +is+it,174987,-0.007857863230348138,0.3718361065349327,0.008894427044416899,0.3224093198183926
1,share_frac_policies,L1 st,176943,0.0362313734959404,8.749441718802764e-05,-0.008308707181767792,0.4252403184675664
1,share_frac_policies,L2 +i,176943,-0.06030073620736642,0.009099582575111231,0.03773426021049466,0.1117749039472542
1,share_frac_policies,L3 +is,175077,-0.006501117151518531,0.06475194180327648,0.021624524917371376,0.0010879747322998234
1,share_frac_policies,L4 +is+it,174987,-0.007007866745663397,0.050482933167305344,0.016804756680881393,0.017957109223234013
1,share_frac_sub,L1 st,176943,0.015390839909002998,0.266112893092592,-0.008465476402265809,0.5344546157759322
1,share_frac_sub,L2 +i,176943,0.019660585700078934,0.04908712899024481,-0.03465174240949168,0.44060901641198313
1,share_frac_sub,L3 +is,175077,0.0022367839424668862,0.49360289621560716,0.0004888697843844121,0.8879263112103122
1,share_frac_sub,L4 +is+it,174987,0.0008003799210804975,0.7371492675934936,0.0003049615687104104,0.9070688440330616
3,n_policies,L1 st,158492,0.12252644970542996,0.005724387802169328,0.006920804221644521,0.7641157678393471
3,n_policies,L2 +i,158492,-0.0051118057383844106,0.90616792030353,0.02312009566344541,0.3241719894071742
3,n_policies,L3 +is,156596,0.00022292115410846007,0.9466918405094547,0.009176300899001623,0.29765408615248434
3,n_policies,L4 +is+it,156526,-0.0025523613056944684,0.6333925615604687,0.0006267668029882068,0.9281826296679756
3,frac_policies,L1 st,158492,0.055514515789570416,0.001178079344217542,0.0019023268475877866,0.885164408121311
3,frac_policies,L2 +i,158492,0.006754221533177988,0.4293788226891273,-0.0008996881064866022,0.9109866473456956
3,frac_policies,L3 +is,156596,-0.0030930284815583794,0.2846190966544211,0.0108366297363324,0.06556150381916925
3,frac_policies,L4 +is+it,156526,-0.005259554885063516,0.18212534531708502,0.006691945099391307,0.07096511557827867
3,n_sub,L1 st,158492,-0.008943411232167506,0.4274199752748853,-0.014555206344967911,0.06997990552680466
3,n_sub,L2 +i,158492,-0.0061465464789942185,0.33972536647802576,-0.009231446540932666,0.3374560743223243
3,n_sub,L3 +is,156596,-4.087262789868774e-05,0.9793042036508388,0.005055826177953184,0.035210595749084694
3,n_sub,L4 +is+it,156526,-0.00021868995515284423,0.9284837582769225,0.0017088484538937917,0.6113023448302908
3,frac_sub,L1 st,158492,0.02015563886474741,0.07092470089260705,-0.006961779588897007,0.37134938533272366
3,frac_sub,L2 +i,158492,0.017744918730584782,0.00017714527450940487,-0.05194766881628803,0.029849244018099297
3,frac_sub,L3 +is,156596,0.006994152171298062,0.07394643446435767,-0.0029693642877149902,0.3465324653884294
3,frac_sub,L4 +is+it,156526,0.004067666955779617,0.4401720638617417,-0.003830395335956167,0.22893861356133094
3,share_n_policies,L1 st,158492,0.09980049376680035,1.6666001911858075e-11,0.009097638421764467,0.6016508001973362
3,share_n_policies,L2 +i,158492,-0.07970586965331457,0.027960526156903587,0.03556458778675942,0.4336601245292486
3,share_n_policies,L3 +is,156596,-0.01097904440446272,0.13038857269754045,0.03463734361173623,0.006595451210811509
3,share_n_policies,L4 +is+it,156526,-0.004051754016870758,0.5639464770483631,0.009962398011247946,0.4509326477995086
3,share_n_sub,L1 st,158492,0.002990880235943848,0.6155474259638827,0.004059628139590622,0.5298445887724872
3,share_n_sub,L2 +i,158492,-0.015464596383550135,0.5328526147517756,0.008479771999822503,0.7178157313028619
3,share_n_sub,L3 +is,156596,-0.014122804030817435,0.49359533166177183,0.02164929300973178,0.29051270204490764
3,share_n_sub,L4 +is+it,156526,-0.03439573107996536,0.2096424183473835,0.039716183176679125,0.14763578720572856
3,share_frac_policies,L1 st,158492,0.0394486125973563,0.00022671896113246603,-0.010259570104219403,0.4031081476369278
3,share_frac_policies,L2 +i,158492,-0.05512161914168118,0.0152631253269786,0.016970750158648216,0.5465154595951438
3,share_frac_policies,L3 +is,156596,-0.015003551095095217,0.0009585026914180617,0.025702493578577134,0.00016042136758209757
3,share_frac_policies,L4 +is+it,156526,-0.013114041283785417,1.2908571567216143e-07,0.021197974034679965,8.552959537100335e-05
3,share_frac_sub,L1 st,158492,0.008989574974779677,0.24221288141162023,0.0060230873461407245,0.46808491266570695
3,share_frac_sub,L2 +i,158492,0.011702223583046756,0.01924960216830618,-0.02959896455989049,0.31119516661109126
3,share_frac_sub,L3 +is,156596,-0.0008070061379480522,0.7926155768091543,0.00652020945695431,0.12527916230727354
3,share_frac_sub,L4 +is+it,156526,-0.0023005916647441437,0.4673322115769718,0.005983319449551465,0.11736312705724017
