measure,ladder,N,IP,IP_se,IP_p,IPxDec,IPxDec_se,IPxDec_p
n_policies,L1  st,186585,0.11932249325519928,0.052558706527713994,0.023191161588184572,-0.0016664089902310622,0.018472926177323188,0.9281217866914295
n_policies,L2  st + i,186585,-0.008852084658364385,0.04684800201100994,0.8501294172265521,0.023020292068062765,0.0234902138998249,0.3270885889143853
n_policies,L3  st + is,184533,-0.0045624751435607526,0.006317344152475938,0.4701628438574952,0.005861246468917156,0.009312274687446144,0.5290801346406016
n_policies,L4  st + is + it,184443,-0.0016850032691577113,0.006221389654820237,0.7865138346756242,-0.005513514371793104,0.005983614987390351,0.35682317978666545
frac_policies,L1  st,186585,0.059784022958544306,0.016490313305011873,0.00028851174375454924,-0.0014458445670427768,0.012018443647218446,0.9042438038882317
frac_policies,L2  st + i,186585,0.002302344113992842,0.008296481805107395,0.7813896898759376,0.00440007052392354,0.008526276919699533,0.6058124993791347
frac_policies,L3  st + is,184533,0.0007613197904059896,0.0036371320562083856,0.8341994467467302,0.007014974394213494,0.005273987881190409,0.18348263251500163
frac_policies,L4  st + is + it,184443,-0.0002608364264151299,0.0026793354852992974,0.9224475264630816,0.0005645092500315317,0.0025172756882496697,0.8225596340003865
n_sub,L1  st,186585,-0.019623734501081964,0.020813410386422048,0.3457622899732393,0.009248965420587493,0.009642895496821109,0.3374841143874816
n_sub,L2  st + i,186585,-0.03229319577273707,0.023028375560191428,0.16081913833463712,0.008848094829286456,0.016790650651949054,0.5982174965465323
n_sub,L3  st + is,184533,-1.5637510694886844e-05,0.004216051684188508,0.9970406198310622,0.00931228044473812,0.0020778366826345687,7.404414583245256e-06
n_sub,L4  st + is + it,184443,0.0003537169975011418,0.00325324257116155,0.9134186132562339,0.0008643142011157668,0.0028226757691771492,0.7594494376490082
