measure,timing,spec,coef,se,p,N
n_policies,flow,1. alpha_k baseline,-0.045998704202098444,0.02285461853139241,0.045951343263672895,12276
n_policies,flow,2. + capability levels,-0.17375723789645528,0.05381838949720913,0.001530322001177975,12276
n_policies,flow,3. + capability x Dec,-0.11138540566905557,0.03934188959471056,0.0052782041047223505,12276
n_policies,flow,4. + country FE,-0.020886754464687594,0.043657559558100044,0.6330508386169811,12276
frac_policies,flow,1. alpha_k baseline,-0.0026850895671396437,0.012247116068814278,0.8267611201201785,12276
frac_policies,flow,2. + capability levels,-0.05229467639986379,0.03974759339966652,0.19030595046215693,12276
frac_policies,flow,3. + capability x Dec,-0.017028285752914842,0.030343087891107966,0.5755099622558975,12276
frac_policies,flow,4. + country FE,0.015190354775047337,0.0187132197208731,0.4182330986927405,12276
share_n_policies,flow,1. alpha_k baseline,0.1770552000362638,0.12557780594431828,0.16064602269630024,12276
share_n_policies,flow,2. + capability levels,0.06442319375109529,0.08457204336340342,0.4474101744242527,12276
share_n_policies,flow,3. + capability x Dec,0.08865696892413681,0.07848107258093312,0.2604346212897668,12276
share_n_policies,flow,4. + country FE,0.11296803040951062,0.09716829069041621,0.2468497898579498,12276
share_frac_policies,flow,1. alpha_k baseline,0.07503821734131301,0.04919314865144155,0.12928430580222683,12276
share_frac_policies,flow,2. + capability levels,0.03472520652752946,0.04968134712232441,0.48566748188030084,12276
share_frac_policies,flow,3. + capability x Dec,0.042279445423677516,0.0488553337063978,0.38821006868585783,12276
share_frac_policies,flow,4. + country FE,0.04636178006376256,0.0507069419345565,0.36203204699290503,12276
