measure,spec,N,IPxDec,IPxDec_se,IPxDec_p,IPz,IPz_se,IPz_p
n_policies,1. a_k only,13208,-0.06390437146990555,0.07320901578435415,0.3839768473346832,-0.09861753781916727,0.06841664233775495,0.1513481014936071
n_policies,2. + capability levels,13208,-0.04944370216824539,0.0709120210778815,0.48661910452673496,-0.06791870405845492,0.06671232267547211,0.3101198609172764
n_policies,3. + capability x Dec  [REC],13208,-0.03241865900230347,0.08516561012166393,0.703946425593249,-0.05800706290010974,0.07301066825186982,0.42803810735465664
n_policies,4. + country FE,13208,0.08965198346450777,0.06117914243899682,0.1447030337948938,0.0930586440128736,0.08720628124305557,0.2874719021962542
frac_policies,1. a_k only,13208,0.002958872715793827,0.07834242859277832,0.9699176750584437,0.02864933844255574,0.06823412292566544,0.6751246612184942
frac_policies,2. + capability levels,13208,0.027901852203932424,0.08180034890991479,0.733461916537661,0.05908026103157817,0.0711872344483663,0.4077715646985549
frac_policies,3. + capability x Dec  [REC],13208,0.04193981655827477,0.08737839198401204,0.6318739761770318,0.06919297031082672,0.07526549646576002,0.3592628793356736
frac_policies,4. + country FE,13208,0.10082698081009325,0.10482624796823632,0.3375246372914853,0.1324172028570027,0.09664168803134522,0.17247870536169363
share_n_policies,1. a_k only,13208,0.05010131568915612,0.13354489186961427,0.7080169648739985,0.024661633409284536,0.13063112539427507,0.8504893207801456
share_n_policies,2. + capability levels,13208,0.04853285224713245,0.13738280735587519,0.7243362797313586,0.028094355619701757,0.13477168417719043,0.8351262372555754
share_n_policies,3. + capability x Dec  [REC],13208,0.05556376449040056,0.14148945364529733,0.6950404108836752,0.034001518405946805,0.1361351441897375,0.8030794639861745
share_n_policies,4. + country FE,13208,0.35286837977136987,0.08886106640260795,0.00010641773353281536,0.3443348236900202,0.1019245372283405,0.0009087303669430558
share_frac_policies,1. a_k only,13208,0.3760068920721178,0.18203174526292734,0.04041932610061738,0.522025434495636,0.14745039068017804,0.0005186804256209765
share_frac_policies,2. + capability levels,13208,0.37915784075218695,0.19148463617085046,0.04934553750482995,0.5117070251984833,0.1499611716434867,0.000809343179816624
share_frac_policies,3. + capability x Dec  [REC],13208,0.3783488708241973,0.1979483397502745,0.0576824471165196,0.5175447874711477,0.1563171866734684,0.0011411308236199957
share_frac_policies,4. + country FE,13208,0.3940157439996359,0.18341842304209674,0.03314951628214313,0.4875929676808813,0.14742646228925343,0.0011545798557133224
