measure,spec,N,IPxDec,IPxDec_se,IPxDec_p,IPz,IPz_se,IPz_p
n_policies,1. a_k only,12117,-0.06656990369115369,0.07619358162058933,0.3837001569278411,-0.10213557501515011,0.07077860839259731,0.15112551581633737
n_policies,2. + capability levels,12117,-0.06757117759218974,0.07874295262032391,0.39221184496190387,-0.10669500581732996,0.0815819520829962,0.19296009242425383
n_policies,3. + capability x Dec  [REC],12117,-0.14079877205468652,0.12115187425022379,0.24703810016690197,-0.15139808011233277,0.10846443369637859,0.16485567086693598
n_policies,4. + country FE,12117,0.01273647760324387,0.07209884972015575,0.8600224734760664,0.0337146461294925,0.09523967556767725,0.7238442664569003
frac_policies,1. a_k only,12117,0.002895897246423301,0.08174998931177697,0.9717895203534073,0.029769594894495877,0.07055843279333329,0.6736999690800525
frac_policies,2. + capability levels,12117,0.003421442443950969,0.08073560782679377,0.9662542002224126,0.030718832975882265,0.06936693697818952,0.6585241004994691
frac_policies,3. + capability x Dec  [REC],12117,-0.04345289594100661,0.10685445458616398,0.684848867344626,-0.006004398077213357,0.09036035306600251,0.947109660912596
frac_policies,4. + country FE,12117,0.057684993177299464,0.11111143942974709,0.6044222807264221,0.10109631738722356,0.10143736875216598,0.3205670264472147
share_n_policies,1. a_k only,12117,0.05182408403413557,0.13878608642766077,0.7093777917762703,0.024967199303068895,0.13505271616379905,0.8535840731036477
share_n_policies,2. + capability levels,12117,0.05186918956315793,0.13916283334243143,0.7098878472843784,0.02500868834514872,0.13448388855849527,0.8527303871493177
share_n_policies,3. + capability x Dec  [REC],12117,0.04322588743850822,0.13545953931023416,0.7500964341384311,0.013269911713392127,0.1304493938127815,0.9191129675191925
share_n_policies,4. + country FE,12117,0.3476793446089958,0.07957617727728149,2.334448853247295e-05,0.3350570609282793,0.09984743073935043,0.0010060204919353222
share_frac_policies,1. a_k only,12117,0.3916888262610677,0.18976452364802257,0.040756344821732515,0.5410610376930208,0.15242687415066147,0.0005174417989783908
share_frac_policies,2. + capability levels,12117,0.3909811252061253,0.18546172669980415,0.036702968307273265,0.5412094086369071,0.15346671236880277,0.0005608496313844746
share_frac_policies,3. + capability x Dec  [REC],12117,0.35077115353730437,0.15534058545825993,0.025403194264854934,0.48103777171728124,0.11837451297860581,7.811999763851496e-05
share_frac_policies,4. + country FE,12117,0.3743320739636121,0.17046343011579806,0.029650992472386895,0.45799585596153664,0.13388871381217773,0.0008074463316027902
