measure,spec,coef,se,p,N
n_policies,1. naive,-0.10622271331263107,0.0662921807381952,0.10908011010729084,23400
n_policies,2. + sector FE,-0.03586407519352332,0.0317615091776655,0.2588270311559012,23400
n_policies,3. + pre-trend,-0.04698697306523609,0.031803569387022515,0.13956524817844487,23400
n_policies,4. + initial share,-0.04662176633937061,0.03207252469851866,0.14604733850718143,23400
frac_policies,1. naive,-0.0379975134768001,0.028520019827790642,0.1827582749637453,23400
frac_policies,2. + sector FE,0.029118495284501403,0.013685009440635967,0.03335650489876201,23400
frac_policies,3. + pre-trend,0.020294501383778096,0.014330005175372779,0.15670984675185,23400
frac_policies,4. + initial share,0.019778675453063718,0.014083993733395205,0.16021848023402108,23400
share_n_policies,1. naive,-0.09488174866077179,0.06719272512497126,0.15792533182566681,23400
share_n_policies,2. + sector FE,0.022634260426260717,0.08948077169451804,0.8003059941658304,23400
share_n_policies,3. + pre-trend,-0.003237573698753102,0.07641178164053446,0.966203675473834,23400
share_n_policies,4. + initial share,-0.0002466428059853011,0.07303100375547938,0.9973053620693033,23400
share_frac_policies,1. naive,0.13051612635081145,0.09186069547477996,0.15537348547947485,23400
share_frac_policies,2. + sector FE,0.1742257638150704,0.06523499193746678,0.007568403253478198,23400
share_frac_policies,3. + pre-trend,0.17197111320624187,0.06561198550622077,0.008766403446474754,23400
share_frac_policies,4. + initial share,0.17227655105701442,0.06503780027920292,0.008076185749449849,23400
