dropped,code,N,treated_obs,coef,se,p,ci_lo,ci_hi,IPxUS_dev
none (baseline),,3543453,8858,0.03347744862745302,0.013837586905097045,0.015549869882534706,0.006356276660519734,0.06059862059438631,-0.016186029676609273
Mexico,484,3507524,8746,0.02444708902773497,0.017736028384108263,0.168084216466732,-0.010314887833897366,0.05920906588936731,-0.016606009468673074
India,699,3503758,8203,0.034986417321357204,0.014392360784758649,0.015061291442615587,0.006777908530723617,0.06319492611199079,-0.013121659121827466
Vietnam,704,3507250,8669,0.03302849155102831,0.013457965989316934,0.014119984326675494,0.006651362906802159,0.05940562019525447,-0.013923076177489163
South Africa,710,3506127,8705,0.03146409578858177,0.013359723827138872,0.01851544553824014,0.005279518243987959,0.057648673333175575,-0.01698277431347139
Bangladesh,50,3521656,8794,0.03613442295934255,0.013879609490736581,0.00922993872384259,0.008930888238018523,0.06333795768066658,-0.016395791330809564
Indonesia,360,3507217,8248,0.03664328852032747,0.013870694365562368,0.008247221119366266,0.009457227123262569,0.06382934991739238,-0.01850230717322026
Brazil,76,3505869,8379,0.038369837414852,0.013876483155466107,0.005690567687186787,0.011172430198061696,0.06556724463164229,-0.01584355936288207
UAE,784,3508391,8764,0.029084893046541205,0.014228074264860233,0.04093473964766603,0.0011983799180539378,0.05697140617502847,-0.017550882992972135
Thailand,764,3504303,8776,0.03647241084797976,0.014560087017734287,0.012246583039084769,0.007935164681451348,0.06500965701450817,-0.019855632166193363
Malaysia,458,3507029,8746,0.031958619756659465,0.013395828045585872,0.017045983519810237,0.005703279244219567,0.05821396026909936,-0.008165501920436602
