variant,term,N,coef,se,p
A. as specified,DDD_dev,19542630,0.10711726380353664,0.029545396652155626,0.0002883867199214851
A. as specified,DDD_adv,19542630,0.0809985095582129,0.031560307689120624,0.010274020026895814
"C. + IPxUS (dev,adv)",DDD_dev,19542630,0.16924265898663057,0.0497698044948513,0.0006726056682258008
"C. + IPxUS (dev,adv)",DDD_adv,19542630,0.02518214073351051,0.04190758167415895,0.5479085814975178
"C. + IPxUS (dev,adv)",IPxUS_dev,19542630,-0.08291160595891366,0.05176597260552791,0.10923030948905699
"C. + IPxUS (dev,adv)",IPxUS_adv,19542630,0.0750037469851085,0.04513824710594859,0.09658395551805432
D. + Dec_US_chn,DDD_dev,19542630,0.1252296712936303,0.0464191935089553,0.0069799492108604255
D. + Dec_US_chn,DDD_adv,19542630,-0.03438456191687753,0.041776228972279464,0.41047089453891905
D. + Dec_US_chn,IPxUS_dev,19542630,-0.061858708543977174,0.04971182009763021,0.21337221795403094
D. + Dec_US_chn,IPxUS_adv,19542630,0.09058514846786367,0.046076949670643526,0.04930396218516098
D. + Dec_US_chn,Dec_US_chn,19542630,-0.3302383698963685,0.06755416752202133,1.0160855781204958e-06
