measure,spec,N,IPxDec_pre_sig,IPxDec_pre_n,IPxDec_post_mean,IPxDec_post_sig,IPxDec_post_n,IP_pre_sig,IP_pre_n,IP_post_mean,IP_post_sig,IP_post_n
n_policies,1. a_ik + a_kt,218106,12,13,0.09348425188033956,3,4,5,13,0.10735040960733405,2,4
n_policies,2. + capability x year,218106,11,13,0.06537672741563633,2,4,5,13,0.029506582736184617,3,4
n_policies,3. + a_it,218106,2,13,0.123391496129707,1,4,0,13,0.1268985180974135,2,4
frac_policies,1. a_ik + a_kt,218106,12,13,0.1854075846343462,2,4,11,13,0.1832972624450925,3,4
frac_policies,2. + capability x year,218106,12,13,0.13980950661571892,2,4,10,13,0.11958990369709421,1,4
frac_policies,3. + a_it,218106,7,13,0.1710299221440733,2,4,3,13,0.15543021660143602,1,4
share_n_policies,1. a_ik + a_kt,218106,0,13,0.1504107949544612,2,4,0,13,0.10253330061396122,2,4
share_n_policies,2. + capability x year,218106,0,13,0.15109116214753213,3,4,0,13,0.06166815961134684,2,4
share_n_policies,3. + a_it,218106,12,13,0.5063686972967354,3,4,11,13,0.5095618590397305,4,4
share_frac_policies,1. a_ik + a_kt,218106,1,13,0.3720989338084193,4,4,0,13,0.40278563615148294,4,4
share_frac_policies,2. + capability x year,218106,1,13,0.3453682813089841,3,4,0,13,0.3724412009514401,4,4
share_frac_policies,3. + a_it,218106,2,13,0.5531193435093902,2,4,2,13,0.5621479965281968,3,4
