Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
ES_2012,0.159928678664943,0.22057861253228359,0.7250416385747103,0.4684264862820362,-0.2723974576581484,0.5922548149880343
ES_2013,0.14863836889619933,0.25248220543167943,0.588708295866103,0.5560569718896642,-0.34621766048713565,0.6434943982795344
ES_2014,0.12152604698787206,0.22942483971172217,0.529698733321869,0.5963208263291087,-0.3281383760059783,0.5711904699817224
ES_2015,0.0326963297337134,0.24188890268459032,0.13517085476363336,0.89247679010662,-0.44139720778799774,0.5067898672554245
ES_2016,0.03006655957277855,0.2624350838367322,0.11456760709434624,0.9087878563944878,-0.48429675302696634,0.5444298721725235
ES_2018,0.13652079388307692,0.1717872343230167,0.7947086081284291,0.4267830238550645,-0.20017599839377892,0.47321758615993276
ES_2019,-0.23473124395563716,0.2344196218773879,-1.001329334446296,0.31666761541833477,-0.6941852601048153,0.22472277219354098
ES_2020,0.2858668136272219,0.20044471711355233,1.4261628729545301,0.1538213337184513,-0.1069976128066602,0.678731240061104
ES_2021,-0.004320137793083225,0.21655628445228225,-0.0199492607846029,0.9840838485273107,-0.4287626559453678,0.42012238035920135
ES_2022,0.32719479446388383,0.1743777771389955,1.876356034766281,0.06060640738557588,-0.014579368432699413,0.6689689573604671
ES_2023,0.10496794959392163,0.1967625452523615,0.5334752580034631,0.5937046337562282,-0.2806795526071396,0.4906154517949829
ES_2024,0.010496974860333741,0.1792421996382154,0.0585630776765793,0.9533001199298292,-0.3408112809403068,0.3618052306609743
G_2012,-0.3212448158397997,0.19872686351764454,-1.6165142958202883,0.10598316507766503,-0.7107423110949899,0.06825267941539048
G_2013,-0.3012148491450613,0.23037970159177196,-1.307471305257647,0.19105269415508364,-0.7527507670340194,0.15032106874389678
G_2014,-0.29815152004603457,0.21112678826619524,-1.4121918042447357,0.1578934930458764,-0.7119524212193911,0.11564938112732187
G_2015,-0.18594536925630076,0.22067073243869845,-0.8426372052213844,0.3994313764894679,-0.6184520572782244,0.2465613187656229
G_2016,-0.22402023564243204,0.24043586176860102,-0.931725550400765,0.3514783785531832,-0.6952658653007411,0.24722539401587698
G_2017,-0.13494270273081102,0.07096584702749392,-1.9015161289983742,0.05723444192647631,-0.274033207037078,0.004147801575455939
G_2018,-0.3030383773386103,0.15714208481544212,-1.928435515505081,0.053800977841616415,-0.6110312040324154,0.004954449355194845
G_2019,0.10312097318227073,0.2227244213239622,0.46299805189425935,0.6433657634822092,-0.33341087109022005,0.5396528174547616
G_2020,-0.33698005124565944,0.17483526895105234,-1.9274146072895733,0.053927980645192886,-0.6796508816170961,0.005690779125777146
G_2021,-0.01166357525796882,0.21025597558463216,-0.05547321651875717,0.9557614672064627,-0.4237577149381809,0.4004305644222433
G_2022,-0.25839472816533166,0.1630086676046606,-1.58515943944777,0.11293011345167381,-0.5778858458383276,0.06109638950766422
G_2023,-0.005789234861641877,0.18833144194824875,-0.030739608860599548,0.9754772027739294,-0.37491207823670547,0.36333360851342167
G_2024,0.013376475553895094,0.16801116900246846,0.07961658521463275,0.9365422039973055,-0.31591936469141546,0.34267231579920565
DDD_adv,-0.13064673178004227,0.07087147050909463,-1.8434319316582677,0.06526597148945323,-0.26955226150926037,0.008258797949175806
IPxUS_adv,0.026010664123509872,0.04470637039771022,0.5818111354627459,0.5606939026251117,-0.06161221173550979,0.11363353998252954
IPxUS_chn,-0.2761638248066278,0.10903319154136286,-2.5328417970949904,0.011314200402583685,-0.4898649533471563,-0.06246269626609932
Dec_US_chn,-0.20284659188991358,0.09608743802474591,-2.1110625494840796,0.034766935886368255,-0.3911745097851401,-0.014518673994687037
Adv_Dec_US,0.09297024720751537,0.10149223465842747,0.9160331085467487,0.35964952990141086,-0.10595087743349035,0.2918913718485211
