Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
ES_2011,2.098374682250026,0.8269234743121575,2.53756816372334,0.011162562784295726,0.47763445462746446,3.7191149098725873
ES_2012,0.4851981786354358,0.18334965137270515,2.6462999793173654,0.008137761557439394,0.12583946536695872,0.8445568919039128
ES_2013,0.19277012285690623,0.36258284869811164,0.5316581397853367,0.5949627892492155,-0.5178792020033284,0.9034194477171408
ES_2014,0.25495923911320223,0.09364856021167872,2.722511040606546,0.00647878685787906,0.0714114338942812,0.4385070443321233
ES_2015,0.17272525592246576,0.33275885429032376,0.5190703528861393,0.6037116817580728,-0.4794701140233806,0.8249206258683122
ES_2016,0.01548575252804025,0.03635117688437212,0.4260041587456221,0.6701048156439979,-0.05576124496097406,0.08673275001705456
ES_2018,0.07269580049456437,0.0614493430250354,1.1830199789922407,0.23680122945503146,-0.04774269870815262,0.19313429969728135
ES_2019,0.31164518358024584,0.3511512603718332,0.8874955574707194,0.3748121569446359,-0.37659863987439446,0.9998890070348861
ES_2020,0.23896084795341518,0.13351075159961381,1.7898247526164506,0.07348208862417716,-0.02271541673070135,0.5006371126375317
ES_2021,-0.03981675023571123,0.030577945919198768,-1.3021394681292755,0.1928687132350433,-0.09974842295855435,0.020114922487131884
ES_2022,0.6419764078463707,0.2667822982509597,2.406368083846662,0.016112021769873364,0.11909271156166645,1.1648601041310749
ES_2023,0.09849929036194593,0.05782481971190849,1.7034085164931507,0.08849164503100004,-0.014835273685916514,0.2118338544098084
ES_2024,0.011321934012097539,0.03271476843287168,0.3460802125293756,0.7292824337654651,-0.05279783387889883,0.0754417019030939
G_2011,-1.955886162409679,0.796747483854563,-2.4548382041288046,0.014094801066053542,-3.517482535537531,-0.3942897892818271
G_2012,-0.4783123611189259,0.17852163476336697,-2.6792963315227083,0.007377707014491364,-0.8282083357163389,-0.12841638652151288
G_2013,-0.18261811761389046,0.3616428994909991,-0.5049680717385013,0.6135812614118477,-0.8914251758808875,0.5261889406531066
G_2014,-0.2742171706596678,0.09128748444217243,-3.003885717032494,0.002665554300417705,-0.4531373524055863,-0.09529698891374927
G_2015,-0.14353919872669293,0.32718522110263915,-0.43870929818576426,0.660872188856438,-0.7848104483616403,0.49773205090825434
G_2016,-0.021580313613149646,0.01601966253978535,-1.3471141205099821,0.17794348106272095,-0.05297827523561439,0.009817648009315096
G_2017,-0.034664683868996835,0.03825538601481443,-0.9061386507921501,0.364862469879093,-0.1096438626727104,0.04031449493471673
G_2018,-0.059013582326009055,0.060267835999114075,-0.9791886724931776,0.3274867645245729,-0.17713637031043922,0.0591092056584211
G_2019,-0.30167832376236725,0.3492400660363259,-0.8638136144751171,0.3876902876544208,-0.9861762751519563,0.38281962762722177
G_2020,-0.24644544279361588,0.13073364729534928,-1.8850957491980178,0.05941691185063003,-0.5026786830600628,0.009787797472831011
G_2021,0.053540193416800545,0.024416766667641775,2.192763445937929,0.028324426876792375,0.005684210129304583,0.10139617670429651
G_2022,-0.6052084653789055,0.2663076351829094,-2.2725914897754516,0.023050808958352542,-1.1271618391454399,-0.08325509161237121
G_2023,-0.07856951452186935,0.056303183374274875,-1.3954719753513625,0.16287356002660092,-0.18892172615040248,0.03178269710666379
G_2024,0.008849224505166382,0.02484848314418462,0.3561273520728929,0.7217451942852748,-0.03985290752788609,0.057551356538218856
DDD_adv,-0.0005388766929682513,0.010466733591735198,-0.051484705160907335,0.9589392892011241,-0.021053297568544807,0.0199755441826083
IPxUS_adv,0.0035619979015093987,0.009068083865761401,0.39280601660054404,0.694462760538965,-0.014211119884171699,0.021335115687190497
IPxUS_chn,-0.15705662688498542,0.04632237082683586,-3.390513570043744,0.0006976180072324478,-0.2478468053840926,-0.06626644838587824
Dec_US_chn,-0.2169185109309083,0.08216856845063801,-2.6399207753171465,0.00829254100235377,-0.377965945755373,-0.05587107610644362
Adv_Dec_US,-0.041604600714283575,0.06420961564109781,-0.6479496925637142,0.5170174888405632,-0.16745313483199503,0.0842439334034279
