variant,col,term,N,coef,se,p
minimal,B. between (no delta_ict),TD_dev,402678,0.08028723768755931,0.023824211533423314,0.0007517225056163923
minimal,B. between (no delta_ict),TD_adv,402678,0.01716957565490055,0.007680708514538096,0.0253900767044557
minimal,B. between (no delta_ict),T_dev,402678,-0.030584778842196944,0.01622525337695378,0.059428371449610884
minimal,B. between (no delta_ict),T_adv,402678,-0.013093495756113169,0.008574621152149416,0.1267595829356427
minimal,W. within  (+ delta_ict),TD_dev,349023,0.010008224642696496,0.01874089733190194,0.5933199204254471
minimal,W. within  (+ delta_ict),TD_adv,349023,0.011323099639675482,0.0059563543949858475,0.057300474740017204
minimal,W. within  (+ delta_ict),T_dev,349023,-0.004271319244109268,0.008959764430688364,0.6335599020458365
minimal,W. within  (+ delta_ict),T_adv,349023,-0.010484048048262485,0.004825861339247801,0.029820088548742074
saturated,B. between (no delta_ict),TD_dev,402678,0.011248893406282365,0.009700546456564716,0.24620583348061076
saturated,B. between (no delta_ict),TD_adv,402678,0.02384678707175845,0.008611734974253915,0.005621074329155817
saturated,B. between (no delta_ict),T_dev,402678,0.00035175517185776704,0.006872557825536984,0.9591800407786957
saturated,B. between (no delta_ict),T_adv,402678,-0.01593221447578497,0.010645997385331757,0.13451168263380264
saturated,B. between (no delta_ict),T_chn,402678,0.020543588278076785,0.008115795834766976,0.01136376396573846
saturated,B. between (no delta_ict),Dec_adv,402678,-0.3279373701923258,0.10030864673994949,0.0010782034066443291
saturated,B. between (no delta_ict),Dec_chn,402678,-0.498288453777683,0.13179242812866676,0.00015628881437135256
saturated,W. within  (+ delta_ict),TD_dev,349023,0.011932232720147635,0.014906134778859553,0.4234261434037643
saturated,W. within  (+ delta_ict),TD_adv,349023,0.006033199584487177,0.0045722902396712,0.18699743505290511
saturated,W. within  (+ delta_ict),T_dev,349023,-0.004972945726808057,0.008269197310790982,0.5475856403374617
saturated,W. within  (+ delta_ict),T_adv,349023,-0.00666601475559335,0.0036301785505277826,0.06631664351959721
saturated,W. within  (+ delta_ict),T_chn,349023,-0.02844993981029002,0.018785666599681155,0.12991192108436045
saturated,W. within  (+ delta_ict),Dec_adv,349023,0.09736251884545144,0.10863129614559416,0.37011080398814444
saturated,W. within  (+ delta_ict),Dec_chn,349023,-0.11467257314008018,0.16253191667507133,0.4804749960421364
