Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
IPpre_y2007,-0.038907194261316266,0.022323678027142333,-1.7428666644452944,0.08135690819987174,-0.08266079919698341,0.004846410674350883
IPpre_y2008,-0.03859141364723536,0.021607173163106078,-1.7860463909795299,0.07409174709401012,-0.08094069485464368,0.0037578675601729616
IPpre_y2009,-0.03557788649987775,0.012767297609130769,-2.7866419025458895,0.005325729496749254,-0.060601329993678406,-0.0105544430060771
IPpre_y2010,-0.03348334872933145,0.013315025847975415,-2.514703997696158,0.011913235884591922,-0.05958031984458316,-0.0073863776140797414
IPpre_y2011,-0.03258501668125794,0.013433886115193949,-2.4255838111061356,0.015283786278921685,-0.058914949639450785,-0.0062550837230650955
IPpre_y2012,-0.0457175537095871,0.022645974662318907,-2.0187938205926486,0.04350865360362666,-0.09010284844253877,-0.0013322589766354212
IPpre_y2013,-0.04117232135185219,0.016696059753495186,-2.465990297095882,0.013663503542310718,-0.07389599715243145,-0.008448645551272928
IPpre_y2014,-0.03854946263885436,0.009098585408312642,-4.236863304446737,2.2666403357574083e-05,-0.0563823623494088,-0.020716562928299913
IPpre_y2015,-0.023001852224917452,0.008675876592913136,-2.651242439721474,0.008019625279708897,-0.040006257881341274,-0.005997446568493631
IPpre_y2016,-0.014487794753301862,0.00973547413666806,-1.4881447528820893,0.13671272336093554,-0.03356897343359244,0.004593383926988716
IPpre_y2018,-0.0064797403232104474,0.00624863678147547,-1.0369846335796153,0.299743018638468,-0.01872684336737465,0.005767362720953757
IPpre_y2019,0.004673246197070014,0.006575827750465333,0.7106704090202659,0.47728850071464857,-0.008215139362381085,0.01756163175652111
IPpre_y2020,-0.015703768632889963,0.012617903180232171,-1.244562460860554,0.21329262636029211,-0.040434404426558435,0.00902686716077851
IPpre_y2021,0.0006223954361551391,0.01129229211027331,0.055116838111981425,0.9560453816616816,-0.02151009040288636,0.022754881275196634
IPpre_y2022,0.008854631098786515,0.013358682820529419,0.6628371387917718,0.5074348650423186,-0.017327906110345098,0.03503716830791813
IPpre_y2023,-0.009889048734714,0.015564898013542687,-0.6353429830449098,0.5252047457820559,-0.0403956882642967,0.020617590794868704
IPpre_y2024,-0.02196556630873123,0.01996105073880577,-1.1004213453567617,0.2711485824284017,-0.061088506850367194,0.01715737423290473
