k,n_tr,n_don,share_inside,dec_pre,tr_value,val_inside
1010,21,13,0.8095238095238095,2.9356391,1.8588004e+06,203666.95
1020,29,43,0.5172413793103449,15.280665,1.0746649e+07,324689.94
1030,35,41,0.6857142857142857,13.679751,6.690391e+06,584415.1
1040,30,25,0.5,1.2436919,2.9468952e+06,45609.395
1050,23,16,0.6521739130434783,0.022107596,240463.34,40206.55
1061,30,23,0.6666666666666666,1.9284741,1.0762668e+06,46959.53
1062,21,6,0.047619047619047616,3.3584337,320629.5,152.661
1071,30,26,0.6,1.3780905,1.3451215e+06,37808.14
1072,19,17,0.8421052631578947,0.23270781,1.1561596e+06,190937.6
1073,31,25,0.8709677419354839,3.2082415,2.0677149e+06,407310.9
1074,25,14,0.6,12.096341,177636.33,11205.8955
1079,35,41,0.6857142857142857,7.763101,2.731615e+06,145450.22
1101,18,29,0.8333333333333334,0.3899555,1.3068989e+06,21453.979
1102,20,13,0.65,0.033450183,661788.5,6796.2373
1103,23,21,0.782608695652174,0.33532557,3.1068648e+06,30631.613
1104,29,24,0.8620689655172413,0.69163036,803352.2,107823.555
1200,20,15,0.75,1.3091,563236.94,331214.66
1311,25,10,0.12,13.308417,406922.4,2689.7163
1312,33,23,0.3939393939393939,33.38123,893534.1,9324.977
1391,24,7,0.08333333333333333,46.478382,134288.4,871.0917
1392,35,56,0.7714285714285715,58.12179,6.083653e+06,209592.97
1393,30,24,0.5,23.013023,1.550185e+06,15602.687
1394,23,10,0.5652173913043478,45.44617,173531.78,25131.973
1399,33,20,0.48484848484848486,24.117819,988347.56,21726.14
1410,36,73,0.8611111111111112,34.894844,3.2119392e+07,5.988641e+06
1430,32,31,0.9375,39.382458,5.5349295e+06,2.4097352e+06
1511,23,7,0.6956521739130435,3.0131624,534420.8,61626.34
1512,36,46,0.6111111111111112,57.520428,2.2379885e+06,30409.363
1520,35,29,0.8,58.300777,8.254537e+06,274282.6
1610,26,24,0.4230769230769231,6.097355,1.2864655e+06,39043.09
1621,22,15,0.4090909090909091,27.620317,1.191308e+06,26656.604
1622,26,11,0.4230769230769231,26.88565,452183.94,19788.988
1623,21,7,0.38095238095238093,2.260287,35821.844,9875.932
1629,34,36,0.6470588235294118,55.962646,792982.9,23418.883
1701,21,9,0.14285714285714285,2.0047228,1.9611735e+06,863.362
1702,27,17,0.8148148148148148,44.22713,381915.44,88865.37
1709,31,21,0.41935483870967744,30.427397,1.2677846e+06,28644.957
1811,25,12,0.36,28.477953,117341.66,1794.4055
2011,34,30,0.7941176470588235,13.070778,9.175538e+06,2.4799302e+06
2012,19,10,0.8421052631578947,4.1566463,2.3079238e+06,2.2860825e+06
2013,27,12,0.5555555555555556,6.0143905,2.412003e+06,214245.47
2022,21,10,0.42857142857142855,7.201397,254099.58,6400.3184
2023,35,34,0.6285714285714286,14.593552,1.8493374e+06,82552.61
2029,35,29,0.6,8.630874,2.9161172e+06,166404.66
2030,19,8,0.21052631578947367,23.64261,496226.8,7099.5225
2100,29,17,0.6206896551724138,2.669299,7.956534e+06,215557.98
2211,22,8,0.6363636363636364,14.893509,4.9915365e+06,490928.0
2219,33,24,0.696969696969697,15.266469,4.1714362e+06,124244.88
2220,36,54,0.8055555555555556,40.789673,6.389522e+06,643354.75
2310,35,21,0.37142857142857144,40.03014,1.8258736e+06,15976.738
2392,24,8,0.16666666666666666,32.271458,1.160105e+06,3662.6147
2393,32,19,0.5,39.42317,666903.25,16027.605
2395,19,10,0.5789473684210527,41.76178,439841.9,38287.53
2396,26,15,0.4230769230769231,22.641333,1.6237751e+06,12875.264
2399,30,12,0.23333333333333334,9.700142,597568.0,4958.3906
2410,27,14,0.48148148148148145,4.7546816,1.2150049e+07,990731.3
2420,32,26,0.59375,4.863858,2.1755204e+07,1.3198754e+06
2431,24,5,0.041666666666666664,35.800343,523458.12,16.582335
2511,26,9,0.11538461538461539,25.94969,1.2874601e+06,1200.5613
2512,22,10,0.13636363636363635,17.69307,193915.22,1220.5896
2593,31,28,0.5161290322580645,35.245087,3.4004812e+06,48336.625
2599,36,43,0.5555555555555556,40.649094,5.312694e+06,112534.24
2610,32,36,0.75,14.2521105,2.2380836e+07,228350.11
2620,36,54,0.5833333333333334,60.24997,3.0802688e+07,43680.34
2630,35,44,0.42857142857142855,58.772648,2.836988e+07,40568.598
2640,29,23,0.5517241379310345,44.39172,1.859477e+07,29943.598
2651,37,54,0.5135135135135135,14.16433,9.93613e+06,64401.062
2652,25,12,0.48,16.425049,288460.2,4999.6636
2660,28,11,0.6428571428571429,13.711998,1.64629e+06,112067.07
2670,26,13,0.5769230769230769,31.232758,1.0096972e+06,26087.848
2680,18,6,0.2222222222222222,5.382172,10309.553,1256.8923
2710,33,47,0.7575757575757576,21.605616,1.6865868e+07,833848.56
2720,23,9,0.30434782608695654,29.755577,1.33545e+06,3374.855
2731,22,7,0.5454545454545454,16.351612,1.3768911e+06,28653.006
2732,30,15,0.7,43.081867,2.9626348e+06,134632.52
