i,name,pre,post,ratio,p,gap_pre,gap_post,n_pos,val,fit_ratio,credible,outcome
12,Algeria,0.8463768180153871,1.1834063329573086,1.3982026773041818,0.7131147540983607,0.13430645793326657,0.7060782458253413,4,125474.0859375,2.286932517911933,False,A. log US exports
32,Argentina,0.17784334569798624,0.2100113202430167,1.1808781454193857,0.8032786885245902,0.023160667337797234,0.1729353677700285,9,3627914.75,0.48053741751181084,True,A. log US exports
50,Bangladesh,0.3305176561225405,0.29158777727356744,0.8822154334939986,0.9262295081967213,0.30121772635398597,0.27528260678869615,3,6199558.5,0.8930674369166504,True,A. log US exports
68,Bolivia,0.2567869366065887,0.9912221406461234,3.860095664308378,0.1885245901639344,0.01558499981262655,-0.9115314267020584,7,802726.5,0.6938450853103606,True,A. log US exports
76,Brazil,1.5242729344307244,1.4511511345797048,0.9520284076431963,0.9016393442622951,1.5205196172116253,1.4495451241681854,3,20568666.0,4.118625729963334,False,A. log US exports
100,Bulgaria,0.09044809438863055,0.7366632362951617,8.144596536549711,0.03278688524590164,0.0017337986219295618,0.6133603600838641,9,573555.3125,0.2443931400738891,True,A. log US exports
152,Chile,0.5152505742608268,0.7617406384883487,1.47838872296481,0.6721311475409836,0.49941016304523234,0.7557724843524581,3,7215728.0,1.392220661138736,True,A. log US exports
170,Colombia,0.09627922377945335,0.3445466643983756,3.578619050644073,0.20491803278688525,0.015573358416997574,0.22237154240043594,7,2939266.0,0.2601490057074658,True,A. log US exports
191,Croatia,0.09193674411033213,0.554222467474876,6.028302098775225,0.06557377049180328,0.003744792730673781,0.45070667623592947,16,500533.375,0.24841551094213044,True,A. log US exports
218,Ecuador,0.11531758433499946,0.342552302552875,2.970512298954815,0.29508196721311475,0.00423921827426729,0.26357299710319537,13,1600545.125,0.311591158795145,True,A. log US exports
288,Ghana,0.24259060726088644,0.27070450140640046,1.1158902830696977,0.819672131147541,0.0071674793076158235,0.233537157432556,9,104960.28125,0.6554862284458716,True,A. log US exports
348,Hungary,0.3534323662874337,0.31541363564326136,0.8924299688691978,0.9262295081967213,0.12469006308622016,0.29138759522512914,5,5330711.5,0.9549835890361057,True,A. log US exports
360,Indonesia,1.3401958711656667,1.4974932577220355,1.1173689532557325,0.819672131147541,1.3356589972494115,1.4944002693430927,3,18201104.0,3.6212446429320257,False,A. log US exports
368,Iraq,0.3229783531631837,1.4655386733532825,4.537575534087958,0.13114754098360656,-0.004681683683365392,0.8962803887184949,6,1496.8966064453125,0.8726960411823341,True,A. log US exports
404,Kenya,0.4073631231874771,0.8019303663808728,1.9685885165697916,0.5409836065573771,0.35305430241413144,0.788699967481976,4,429425.90625,1.1007059186711672,True,A. log US exports
458,Malaysia,1.9775203948374023,2.0745379577546306,1.049060208516942,0.8688524590163934,1.9671041617086298,2.069694029748626,2,35231488.0,5.343312339759147,False,A. log US exports
484,Mexico,3.940715935304563,4.09015585339097,1.0379220224293728,0.8688524590163934,3.9369009442675247,4.089993996616691,2,271554752.0,10.647918544642726,False,A. log US exports
504,Morocco,0.1287403896950873,0.48882368887596284,3.7969722635895997,0.19672131147540983,-0.0005314432969632774,0.456434590435305,16,941007.0625,0.3478599334191558,True,A. log US exports
508,Mozambique,0.7919404776972715,0.3277701865182631,0.4138823506929735,1.0,0.16069265966533372,-0.14277467727530307,4,111626.125,2.1398440885270964,False,A. log US exports
524,Nepal,0.22635487679742108,0.2628959456789627,1.161432655653558,0.819672131147541,0.055758420400834036,-0.20248919949244584,6,93132.6015625,0.6116168558938019,True,A. log US exports
566,Nigeria,0.6807613301144836,0.8563765289022313,1.2579688225801757,0.7704918032786885,0.02458718252373483,-0.5976006702391218,6,399434.15625,1.839435095146343,True,A. log US exports
586,Pakistan,0.16558721511781752,0.2621065049978264,1.5828909545421976,0.6065573770491803,0.13724388987305083,0.25218510028710867,4,3743190.75,0.44742102895891317,True,A. log US exports
604,Peru,0.16692738823852113,0.13820790448274972,0.8279522368448347,0.9344262295081968,0.06525432272192978,0.023930887651723052,5,4102768.0,0.4510422121294958,True,A. log US exports
608,Philippines,0.8759489088438761,0.8810049414919533,1.0057720634126373,0.8770491803278688,0.8571527096768506,0.8585781237325494,4,10618337.0,2.366837088428049,False,A. log US exports
616,Poland,0.3392088295437355,0.5583109394187519,1.6459210102806794,0.5655737704918032,0.12532366780195792,0.5543168738531757,5,6052428.0,0.9165512170635935,True,A. log US exports
634,Qatar,0.2584688554351097,0.24669248893763393,0.9544379670902658,0.9016393442622951,0.023162686192114732,0.2002335366344532,8,733645.0,0.6983896744101097,True,A. log US exports
642,Romania,0.1997494053845106,0.44643809140661284,2.2349908403844063,0.47540983606557374,0.045414639027339956,0.40856322052573013,8,2028950.0,0.5397281693968908,True,A. log US exports
643,Russia,0.7228004045667981,0.6047283519593942,0.8366463938572795,0.9344262295081968,0.7114189796668569,0.33348047581855994,4,7965560.5,1.9530257847086496,True,A. log US exports
682,Saudi Arabia,0.10676440009314209,0.37646313176139246,3.5261110579272033,0.20491803278688525,0.007481176598085943,0.3614493276577629,11,1478579.625,0.2884802290555264,True,A. log US exports
688,Serbia,0.39778229059508735,0.5348808057520371,1.3446571614634946,0.7377049180327869,-0.023945265831052123,0.38880242783479346,8,302450.90625,1.07481825594479,True,A. log US exports
699,India,2.104625517305451,2.4337365086272547,1.1563750836505888,0.819672131147541,2.0947937816240216,2.4323711148887415,3,44272352.0,5.686753737937984,False,A. log US exports
704,Vietnam,1.7304520906218521,2.812153355973669,1.625097494009845,0.5901639344262295,1.6679630995716999,2.803926167462529,3,42132400.0,4.675727255870865,False,A. log US exports
710,South Africa,0.6193697802019382,0.7566181593359015,1.2215935996896958,0.7950819672131147,0.6026113159277948,0.734630762931898,4,6633166.0,1.6735535057270767,True,A. log US exports
764,Thailand,1.8220551324326228,2.1228361536044713,1.1650778924402119,0.819672131147541,1.8183646997954783,2.1203062476395025,3,30043534.0,4.92324109438539,False,A. log US exports
