i,name,pre,fit_x,tau_scm,tau_aug,corr,lam,imb,p_scm,p_aug,val,credible,outcome
12,Algeria,0.8463768180153871,2.286932517911933,0.7060786477119461,0.7938890745499046,-0.0878104268379586,1.0,0.6394095224609831,0.38524590163934425,0.3524590163934426,125474.0859375,False,A. log US exports
32,Argentina,0.17784334569798624,0.48053741751181084,0.17293746770852358,-0.7176751291077326,0.8906125968162562,0.0001,0.14256348093748497,0.819672131147541,0.3524590163934426,3627914.75,True,A. log US exports
50,Bangladesh,0.3305176561225405,0.8930674369166504,0.2752840211196066,0.6068436087539868,-0.33155958763438026,0.0001,0.30733808786615685,0.7622950819672131,0.4426229508196721,6199558.5,True,A. log US exports
68,Bolivia,0.2567869366065887,0.6938450853103606,-0.911532012759638,-0.8794063432263,-0.03212566953333803,10.0,0.1684534213801059,0.26229508196721313,0.3114754098360656,802726.5,True,A. log US exports
76,Brazil,1.5242729344307244,4.118625729963334,1.4495465183813572,-0.5816093694146676,2.0311558877960247,0.1,1.5205196172116253,0.09836065573770492,0.4672131147540984,20568666.0,False,A. log US exports
100,Bulgaria,0.09044809438863055,0.2443931400738891,0.6133611612508165,0.5063438372838784,0.10701732396693803,1.0,0.08169012821812917,0.4180327868852459,0.5327868852459017,573555.3125,True,A. log US exports
152,Chile,0.5152505742608268,1.392220661138736,0.7557715247160885,0.21103500108948725,0.5447365236266013,10.0,0.49941016304523234,0.36065573770491804,0.8114754098360656,7215728.0,True,A. log US exports
170,Colombia,0.09627922377945335,0.2601490057074658,0.22237202221892538,0.246831053956336,-0.02445903173741063,10.0,0.08342306381945135,0.8032786885245902,0.7786885245901639,2939266.0,True,A. log US exports
191,Croatia,0.09193674411033213,0.24841551094213044,0.45070622524614556,0.5436994306127945,-0.09299320536664889,1.0,0.07087232893549517,0.5573770491803278,0.5,500533.375,True,A. log US exports
218,Ecuador,0.11531758433499946,0.311591158795145,0.26357340306762644,0.26935694671990357,-0.005783543652277147,10.0,0.09232384347211774,0.7704918032786885,0.7459016393442623,1600545.125,True,A. log US exports
288,Ghana,0.24259060726088644,0.6554862284458716,0.23353663539099223,0.32710912228172084,-0.09357248689072858,10.0,0.20421194849535207,0.7868852459016393,0.7295081967213115,104960.28125,True,A. log US exports
348,Hungary,0.3534323662874337,0.9549835890361057,0.29138744339066136,-0.276045527964377,0.5674329713550383,0.1,0.29944225374877204,0.7540983606557377,0.7377049180327869,5330711.5,True,A. log US exports
360,Indonesia,1.3401958711656667,3.6212446429320257,1.494400772045072,0.23452970075802404,1.259871071287048,0.01,1.3356589972494115,0.09016393442622951,0.7868852459016393,18201104.0,False,A. log US exports
368,Iraq,0.3229783531631837,0.8726960411823341,0.8962805316517155,0.9310103813745754,-0.03472984972285981,100.0,0.28893233629627696,0.27049180327868855,0.2786885245901639,1496.8966064453125,True,A. log US exports
404,Kenya,0.4073631231874771,1.1007059186711672,0.7887006895775777,0.4700209819810949,0.3186797075964828,10.0,0.3584928112575883,0.32786885245901637,0.5737704918032787,429425.90625,True,A. log US exports
458,Malaysia,1.9775203948374023,5.343312339759147,2.0696930319677715,-0.16080476346821948,2.230497795435991,0.1,1.9671041617086298,0.03278688524590164,0.8524590163934426,35231488.0,False,A. log US exports
484,Mexico,3.940715935304563,10.647918544642726,4.089994189815959,-0.09860751036708049,4.18860170018304,0.1,3.9369009442675247,0.01639344262295082,0.9098360655737705,271554752.0,False,A. log US exports
504,Morocco,0.1287403896950873,0.3478599334191558,0.4564354560527004,0.5118907861448763,-0.0554553300921759,0.1,0.10496547418877468,0.5491803278688525,0.5245901639344263,941007.0625,True,A. log US exports
508,Mozambique,0.7919404776972715,2.1398440885270964,-0.14277527594561334,-0.7613730882176498,0.6185978122720365,10.0,0.6402623297914626,0.860655737704918,0.3524590163934426,111626.125,False,A. log US exports
524,Nepal,0.22635487679742108,0.6116168558938019,-0.2024891088263132,-0.23456086655551067,0.03207175772919746,1.0,0.17541210473545796,0.8114754098360656,0.7868852459016393,93132.6015625,True,A. log US exports
566,Nigeria,0.6807613301144836,1.839435095146343,-0.5976012340300656,-0.4622838136424136,-0.135317420387652,10.0,0.4789768485894974,0.45081967213114754,0.5819672131147541,399434.15625,True,A. log US exports
586,Pakistan,0.16558721511781752,0.44742102895891317,0.2521863045699142,0.17539515107945483,0.07679115349045937,10.0,0.13724388987305083,0.7704918032786885,0.8278688524590164,3743190.75,True,A. log US exports
604,Peru,0.16692738823852113,0.4510422121294958,0.023931003601035172,-1.675186162695561,1.6991171662965963,0.0001,0.135811161650325,0.9918032786885246,0.11475409836065574,4102768.0,True,A. log US exports
608,Philippines,0.8759489088438761,2.366837088428049,0.8585771811403724,-0.1674200540352575,1.02599723517563,0.1,0.8571527096768506,0.29508196721311475,0.8360655737704918,10618337.0,False,A. log US exports
616,Poland,0.3392088295437355,0.9165512170635935,0.5543168752847674,0.2427957560486349,0.31152111923613246,1.0,0.28194146620007743,0.4672131147540984,0.7786885245901639,6052428.0,True,A. log US exports
634,Qatar,0.2584688554351097,0.6983896744101097,0.20023312009311134,-0.07749553516834151,0.27772865526145285,1.0,0.18817430161683743,0.8114754098360656,0.9426229508196722,733645.0,True,A. log US exports
642,Romania,0.1997494053845106,0.5397281693968908,0.40856311518012234,0.14691095233911017,0.26165216284101217,1.0,0.1763433542854991,0.6475409836065574,0.8852459016393442,2028950.0,True,A. log US exports
643,Russia,0.7228004045667981,1.9530257847086496,0.33348019061552314,-0.29459332044303577,0.6280735110585589,0.1,0.7114189796668569,0.7049180327868853,0.7377049180327869,7965560.5,True,A. log US exports
682,Saudi Arabia,0.10676440009314209,0.2884802290555264,0.3614492061263803,0.3488305742741208,0.012618631852259544,1.0,0.08099693190835211,0.6721311475409836,0.7213114754098361,1478579.625,True,A. log US exports
688,Serbia,0.39778229059508735,1.07481825594479,0.38880137087942046,0.2728723569004353,0.11592901397898513,1.0,0.29945200224349655,0.6639344262295082,0.7377049180327869,302450.90625,True,A. log US exports
699,India,2.104625517305451,5.686753737937984,2.432370958470866,0.5558233800245826,1.8765475784462833,100.0,2.0947937816240216,0.02459016393442623,0.5,44272352.0,False,A. log US exports
704,Vietnam,1.7304520906218521,4.675727255870865,2.803925258400376,1.1330149412819752,1.670910317118401,0.1,1.6679630995716999,0.02459016393442623,0.21311475409836064,42132400.0,False,A. log US exports
710,South Africa,0.6193697802019382,1.6735535057270767,0.7346309592867222,0.6691090061698683,0.06552195311685381,0.01,0.6026113159277948,0.36885245901639346,0.38524590163934425,6633166.0,True,A. log US exports
