name,pre,fit_x,tau_scm,tau_aug,corr,p_scm,p_aug,credible,spec
Pakistan,0.25081503455311366,0.5993733673878643,0.44438266842623797,0.17403787331138604,0.27034479511485193,0.48623853211009177,0.7706422018348624,True,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Ecuador,0.1047912832846529,0.2504200134857438,0.8586241987204772,0.8620673878820045,-0.003443189161527338,0.27522935779816515,0.3486238532110092,True,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Croatia,0.11032802462129059,0.2636511792538125,0.23089149659603336,0.17105990234283255,0.059831594253200816,0.6697247706422018,0.7798165137614679,True,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Bulgaria,0.1466807810679638,0.35052345979351557,0.1877718089808642,0.0830990716173795,0.1046727373634847,0.7339449541284404,0.8440366972477065,True,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Romania,0.18864974530342238,0.45081680729721435,0.324075363142585,0.06279662649859585,0.26127873664398915,0.5871559633027523,0.8715596330275229,True,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Indonesia,1.110306491604642,2.653302430180887,0.6161489486694336,-0.49256033425252266,1.1087092829219563,0.3761467889908257,0.5321100917431193,False,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Argentina,0.21433822627478372,0.5122046398500647,-0.312477464265136,-0.30956553941372666,-0.0029119248514093456,0.5963302752293578,0.6513761467889908,True,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Hungary,0.1812055922799819,0.43302749465509194,0.17903029190286368,0.07463452278080217,0.10439576912206151,0.7614678899082569,0.8623853211009175,True,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Poland,0.16662310967705338,0.3981796964831633,0.38260859739185626,0.13777239104107125,0.244836206350785,0.5504587155963303,0.8073394495412844,True,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Russia,0.14093547723675534,0.3367938916672931,-0.14747244326664521,-0.029536166692494523,-0.11793627657415069,0.8256880733944955,0.9541284403669725,True,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Brazil,0.23204004263009712,0.5545067183385811,0.39970067818707555,0.430396542215935,-0.030695864028859446,0.5321100917431193,0.5688073394495413,True,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
India,1.1091226502814113,2.6504734013644056,0.906764030456543,-0.10017754821119307,1.006941578667736,0.26605504587155965,0.8256880733944955,False,"C. log US exports, decoupling sectors | (i)  HIGH n_pol vs ZERO"
Pakistan,0.18342199623437241,0.7042696839231173,-0.12940636254796445,0.4079834207706563,-0.5373897833186208,0.7692307692307693,0.38461538461538464,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
Ecuador,0.09827302157493811,0.3773304797877976,0.5016605632251387,0.7066660191145511,-0.20500545588941238,0.46153846153846156,0.3076923076923077,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
Croatia,0.1273084711715449,0.4888154016062194,-0.3571773776997649,-0.03406059047032822,-0.32311678722943665,0.46153846153846156,1.0,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
Bulgaria,0.11327089652914529,0.43491653200817226,-0.3571460070074455,-0.3122538207968105,-0.044892186210634975,0.46153846153846156,0.5384615384615384,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
Romania,0.13323025424521612,0.5115527634231014,-0.5132757685145872,0.10443719082965919,-0.6177129593442464,0.46153846153846156,0.9230769230769231,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
Indonesia,0.1130433461791358,0.4340428264746603,-0.04329887521510756,0.09306630303201924,-0.1363651782471268,0.9230769230769231,1.0,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
Argentina,0.22766887045854783,0.8741606062998872,-0.37956462601824725,-0.0908356699842216,-0.28872895603402565,0.46153846153846156,1.0,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
Hungary,0.2316856267714898,0.8895834004957215,-0.5412223686709705,0.11403741003628776,-0.6552597787072583,0.46153846153846156,0.9230769230769231,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
Poland,0.16177579510121776,0.6211566247308945,-0.0276966441781461,0.16101249776279147,-0.18870914194093757,1.0,0.9230769230769231,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
Russia,0.15448325483561828,0.5931560842652472,-0.28446631886270524,0.23596559586780264,-0.5204319147305079,0.6153846153846154,0.7692307692307693,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
Brazil,0.2804648615581995,1.0768768384176988,-0.07478366422540184,-0.05476331599838875,-0.02002034822701309,0.9230769230769231,1.0,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
India,0.2272859365381028,0.8726902878176336,0.3899683558432194,0.1258289314705885,0.26413942437263094,0.46153846153846156,0.9230769230769231,True,"C. log US exports, decoupling sectors | (ii) HIGH n_pol vs LOW users"
