meas,cut,med_adm,n_used,med_p_scm,rej_scm,fisher_scm,med_p_aug,rej_aug,fisher_aug
vol,1x,125.0,535,0.7333333333333333,0.016822429906542057,1.0,0.42857142857142855,0.17009345794392525,2.1689361862087253e-06
vol,2x,265.0,541,0.6034858387799564,0.06099815157116451,0.9999998174010053,0.4918793503480278,0.10351201478743069,0.38919918905836737
vol,3x,365.0,541,0.546031746031746,0.09611829944547134,0.964874183980799,0.5376044568245125,0.08872458410351201,0.9769630631203929
vol,5x,452.0,541,0.4735772357723577,0.13493530499075784,0.07758295696483752,0.5657894736842105,0.07208872458410351,0.9999808999820469
vol,none,495.0,541,0.4153225806451613,0.16635859519408502,3.0722897895740786e-06,0.5907258064516129,0.05730129390018484,0.9999999958121164
tgt,1x,189.5,500,0.801502419149478,0.02,1.0,0.4356597166958459,0.17,1.207004531877942e-07
tgt,2x,324.5,500,0.7074321214910262,0.044,1.0,0.51323826412492,0.11,0.30794517111093056
tgt,3x,416.0,500,0.6639621033307107,0.062,0.9999999996356641,0.5501676245210728,0.084,0.9167186789084607
tgt,5x,474.5,500,0.6179915514592934,0.084,0.9998761559906698,0.5725806451612904,0.072,0.9986645352025808
tgt,none,495.0,500,0.5493951612903225,0.112,0.8761440000418067,0.5967741935483871,0.068,0.9999800137134589
