t,b,s,meas
2007,0.24014112229507384,0.17054235159073355,tgt
2008,0.22895290330959084,0.1589781788204325,tgt
2009,0.14446166094185295,0.1458631084568052,tgt
2010,0.23051214052492464,0.12955483654209574,tgt
2011,0.2420187781972185,0.12867061281538061,tgt
2012,0.24945331163632592,0.10481471491558655,tgt
2013,0.12430721492495617,0.09488220735997127,tgt
2014,0.11425294603394859,0.06459430549965059,tgt
2015,0.014125663729609666,0.05855702504378136,tgt
2016,0.011944157561661149,0.05648738294781185,tgt
2017,0.0,0.0,tgt
2018,0.1413083179186856,0.049223344964693536,tgt
2019,0.15012970490605568,0.053519316866021426,tgt
2020,0.20706488270694456,0.07617956935150115,tgt
2021,0.2914768262286484,0.08298132826087373,tgt
2022,0.3305632743237018,0.1259170995782255,tgt
2023,0.30364199173230755,0.16151276833324038,tgt
2024,0.28605530767618265,0.1761391023740913,tgt
2007,0.3358568731775543,0.24795806604868653,vol
2008,0.1700710298770896,0.2157017294089373,vol
2009,0.18086179962583301,0.19737617378502195,vol
2010,0.18355920722173125,0.16481071746932732,vol
2011,0.2114716548303923,0.15399957604229908,vol
2012,0.14815157540847032,0.1315736540908308,vol
2013,0.12178631078714801,0.1089131756285717,vol
2014,0.09717377859834157,0.07613921559995228,vol
2015,0.002221764556300859,0.05549015296271535,vol
2016,-0.002410775340439693,0.041360113083641105,vol
2017,0.0,0.0,vol
2018,0.06849162981648593,0.043718838897185246,vol
2019,0.04863227178814042,0.07232903074909056,vol
2020,0.1021416853055945,0.0959985128446445,vol
2021,0.15308842157847302,0.12327193896370375,vol
2022,0.25719936933681237,0.1989507320929347,vol
2023,-0.011466552891134199,0.27464410538717265,vol
2024,-0.02052005493718573,0.32473470346453814,vol
