t,b,s,meas
2007,-0.019531083995589896,0.04064970041242698,tgt
2008,-0.01775415682489052,0.03370683301667974,tgt
2009,-0.02015269721435397,0.038268365021149525,tgt
2010,-0.03531061314024806,0.043062734307882065,tgt
2011,-0.02406784914702962,0.036609774727658674,tgt
2012,-0.015440008092346712,0.027316680108964875,tgt
2013,-0.018450036191428307,0.02767742215879303,tgt
2014,-0.0148646883396151,0.024666801646937332,tgt
2015,-0.022274352075814803,0.013400337899666128,tgt
2016,-0.017095839729808313,0.014558938891437294,tgt
2017,0.0,0.0,tgt
2018,0.007170139314550735,0.010997313288243696,tgt
2019,0.011679862437605519,0.00867742328285997,tgt
2020,0.029027843402886718,0.014045888075973578,tgt
2021,0.042454864753738934,0.013430924076299491,tgt
2022,0.016534655302202113,0.024459948179415006,tgt
2023,0.029208369192824754,0.02277329474448058,tgt
2024,0.029251147917134256,0.01924236914076906,tgt
2007,0.047840749778442215,0.05660506985645255,vol
2008,0.008468393714764582,0.048302662156012276,vol
2009,-0.02947535427259639,0.04444606632391379,vol
2010,-0.025076713827391614,0.04145796815743023,vol
2011,-0.002743056875030563,0.03587058405971754,vol
2012,-0.016245148113982966,0.03181349664731644,vol
2013,-0.005134887430457129,0.022660432319620293,vol
2014,0.001689764082243234,0.015650142962651784,vol
2015,-0.00393541196800867,0.011394364454178872,vol
2016,-0.008995351652720808,0.01059640645370742,vol
2017,0.0,0.0,vol
2018,0.0025363925018177637,0.010168271471170005,vol
2019,0.013830727995717171,0.015575818296136402,vol
2020,0.03146857141023748,0.02013478842453951,vol
2021,0.058090322572419945,0.028675282150654582,vol
2022,0.058938374002361585,0.04469033786914216,vol
2023,0.0015033735338609727,0.07564275505753326,vol
2024,-0.0035680338395033748,0.08786506704141504,vol
