meas,ctrl,fe,t,b,s
tgt,SC weighted donors,unit + sector x year,2007,0.24014112229507342,0.17054235159073333
tgt,SC weighted donors,unit + sector x year,2008,0.22895290330959045,0.15897817882043244
tgt,SC weighted donors,unit + sector x year,2009,0.14446166094185256,0.14586310845680517
tgt,SC weighted donors,unit + sector x year,2010,0.23051214052492425,0.12955483654209576
tgt,SC weighted donors,unit + sector x year,2011,0.24201877819721815,0.12867061281538053
tgt,SC weighted donors,unit + sector x year,2012,0.24945331163632545,0.10481471491558648
tgt,SC weighted donors,unit + sector x year,2013,0.1243072149249558,0.09488220735997142
tgt,SC weighted donors,unit + sector x year,2014,0.1142529460339482,0.06459430549965023
tgt,SC weighted donors,unit + sector x year,2015,0.014125663729609215,0.05855702504378121
tgt,SC weighted donors,unit + sector x year,2016,0.011944157561660805,0.056487382947811464
tgt,SC weighted donors,unit + sector x year,2017,0.0,0.0
tgt,SC weighted donors,unit + sector x year,2018,0.14130831791868514,0.049223344964693515
tgt,SC weighted donors,unit + sector x year,2019,0.15012970490605518,0.05351931686602117
tgt,SC weighted donors,unit + sector x year,2020,0.20706488270694415,0.07617956935150122
tgt,SC weighted donors,unit + sector x year,2021,0.291476826228648,0.08298132826087369
tgt,SC weighted donors,unit + sector x year,2022,0.3305632743237014,0.12591709957822553
tgt,SC weighted donors,unit + sector x year,2023,0.30364199173230727,0.1615127683332403
tgt,SC weighted donors,unit + sector x year,2024,0.28605530767618226,0.1761391023740914
tgt,SC weighted donors,unit + year,2007,0.008325531095866834,0.12655158627778182
tgt,SC weighted donors,unit + year,2008,0.06352858152491066,0.11528967029171135
tgt,SC weighted donors,unit + year,2009,-0.015121734662723813,0.11076747776021449
tgt,SC weighted donors,unit + year,2010,0.10755353873984796,0.09488292732734217
tgt,SC weighted donors,unit + year,2011,0.16438613237758232,0.09994265076056341
tgt,SC weighted donors,unit + year,2012,0.18067212836364258,0.08104698767740545
tgt,SC weighted donors,unit + year,2013,0.05661086292810214,0.07130954181563535
tgt,SC weighted donors,unit + year,2014,0.08821418445161028,0.05770834406514904
tgt,SC weighted donors,unit + year,2015,-0.03400255824953374,0.04617121106434605
tgt,SC weighted donors,unit + year,2016,-0.044124633569524625,0.046451859906001716
tgt,SC weighted donors,unit + year,2017,0.0,0.0
tgt,SC weighted donors,unit + year,2018,0.13893627873425507,0.040118935447750984
tgt,SC weighted donors,unit + year,2019,0.12632860257868786,0.04998922507812377
tgt,SC weighted donors,unit + year,2020,0.10660231507736649,0.06351432802280552
tgt,SC weighted donors,unit + year,2021,0.22355064779954703,0.07383174606044833
tgt,SC weighted donors,unit + year,2022,0.2571974563352202,0.10280685423097
tgt,SC weighted donors,unit + year,2023,0.24184328685229795,0.12887883726324625
tgt,SC weighted donors,unit + year,2024,0.217334943708652,0.1484306093150255
tgt,all LOW,unit + sector x year,2007,0.03128989109208788,0.15196104358389606
tgt,all LOW,unit + sector x year,2008,0.04953857132726082,0.1360582217429735
tgt,all LOW,unit + sector x year,2009,-0.09627374260750636,0.12318251687476778
tgt,all LOW,unit + sector x year,2010,0.019211289316266048,0.10871879869499589
tgt,all LOW,unit + sector x year,2011,0.07873358952254142,0.10408994676622425
tgt,all LOW,unit + sector x year,2012,0.10079994116189524,0.09212528424035729
tgt,all LOW,unit + sector x year,2013,0.049010312896946205,0.08206862751166406
tgt,all LOW,unit + sector x year,2014,0.049644468936660996,0.06648278039630934
tgt,all LOW,unit + sector x year,2015,0.02069830837383643,0.056634076242034474
tgt,all LOW,unit + sector x year,2016,-0.01928521539126449,0.056475398758225284
tgt,all LOW,unit + sector x year,2017,0.0,0.0
tgt,all LOW,unit + sector x year,2018,0.04434855072451742,0.04503430796767491
tgt,all LOW,unit + sector x year,2019,0.0625007035209887,0.05496034413963315
