meas,tag,fe,b,s,t
tgt,dose x Post,unit + year,0.024784066146145645,0.019877067292556103,
tgt,dose x Post,+ sector x year,0.0422491555686785,0.02426107444468705,
tgt,dose x Post,+ country x year,0.01578431352085067,0.012264068516919094,
tgt,dose x Post,both,0.028726760608970826,0.012839262996703193,
tgt,triple,unit + year,0.04682519183449169,0.04681518909225793,
tgt,triple,+ sector x year,0.06468359713069906,0.04503522558296728,
tgt,triple,+ country x year,0.03438856816044412,0.02362388385150878,
tgt,triple,both,0.04425768984181193,0.018921203772326978,
tgt,event,sector x year,-0.019531083995589876,0.040649700412426874,2007.0
tgt,event,sector x year,-0.01775415682489051,0.033706833016679705,2008.0
tgt,event,sector x year,-0.02015269721435396,0.03826836502114947,2009.0
tgt,event,sector x year,-0.035310613140248054,0.04306273430788197,2010.0
tgt,event,sector x year,-0.024067849147029596,0.03660977472765864,2011.0
tgt,event,sector x year,-0.015440008092346691,0.027316680108964778,2012.0
tgt,event,sector x year,-0.018450036191428296,0.027677422158793014,2013.0
tgt,event,sector x year,-0.014864688339615085,0.024666801646937332,2014.0
tgt,event,sector x year,-0.02227435207581479,0.013400337899666112,2015.0
tgt,event,sector x year,-0.017095839729808295,0.014558938891437242,2016.0
tgt,event,sector x year,0.007170139314550745,0.010997313288243644,2018.0
tgt,event,sector x year,0.011679862437605527,0.008677423282859748,2019.0
tgt,event,sector x year,0.029027843402886708,0.014045888075973456,2020.0
tgt,event,sector x year,0.042454864753738934,0.013430924076299356,2021.0
tgt,event,sector x year,0.01653465530220212,0.024459948179414995,2022.0
tgt,event,sector x year,0.029208369192824764,0.02277329474448057,2023.0
tgt,event,sector x year,0.029251147917134266,0.019242369140769044,2024.0
tgt,event,sector x year,0.0,0.0,2017.0
tgt,event,+ country x year,-0.007258117995313536,0.025066953181508776,2007.0
tgt,event,+ country x year,-0.023065996166584175,0.028624767242880465,2008.0
tgt,event,+ country x year,-0.006081279394473575,0.023288528780033433,2009.0
tgt,event,+ country x year,-0.028314755276183504,0.0321051924389927,2010.0
tgt,event,+ country x year,-0.0232175074879567,0.026050768417423886,2011.0
tgt,event,+ country x year,-0.01586071693952506,0.022050400098278907,2012.0
tgt,event,+ country x year,-0.015373449415975897,0.02126794612929892,2013.0
tgt,event,+ country x year,-0.019900550057647796,0.02201236413140257,2014.0
tgt,event,+ country x year,-0.019965147448450054,0.011191245015441033,2015.0
tgt,event,+ country x year,-0.013404166299846173,0.01256356413344104,2016.0
tgt,event,+ country x year,0.009116814021112073,0.011335603725093093,2018.0
tgt,event,+ country x year,0.009708889777981268,0.010692042413965442,2019.0
tgt,event,+ country x year,0.01764679754335401,0.01674963384905395,2020.0
tgt,event,+ country x year,0.022323300342338957,0.017099757560023895,2021.0
tgt,event,+ country x year,-0.006491443469160812,0.029017562799972786,2022.0
tgt,event,+ country x year,0.0181968383604731,0.018656590603666305,2023.0
tgt,event,+ country x year,0.02085050901636146,0.014047732112139694,2024.0
tgt,event,+ country x year,0.0,0.0,2017.0
vol,dose x Post,unit + year,0.026634270669130294,0.04109118079098109,
vol,dose x Post,+ sector x year,0.026312287349340154,0.04496251926391404,
vol,dose x Post,+ country x year,0.005539413344313453,0.0129661487717646,
vol,dose x Post,both,-0.005372594556542137,0.014057268775829414,
vol,triple,unit + year,0.031804060337697976,0.0472930890126679,
vol,triple,+ sector x year,0.02985505518566423,0.050742152481239367,
vol,triple,+ country x year,0.007007000377562912,0.01710219643851834,
vol,triple,both,-0.008522577974050293,0.017441196002980722,
