meas,kind,tag,b,s,n
tgt,spec,dose in sd (headline),0.028726760533303832,0.012839262956670684,5166
tgt,spec,winsorised at p99 of positive,0.021421229276836817,0.01831553846657425,5166
tgt,spec,winsorised at p95 of positive,0.007185776440415907,0.019925426781074475,5166
tgt,spec,winsorised at p90 of positive,-0.001385359635814573,0.020099619740100418,5166
tgt,spec,percentile rank,-0.011351645317894498,0.03276386447046446,5166
tgt,spec,top 1% of dosed units dropped,0.0008209195409925317,0.04210288337942348,5145
tgt,spec,top 5% of dosed units dropped,-0.04923065393120042,0.11945582139952954,5065
tgt,decile,D1,0.06912164808324278,0.10902281344843041,200
tgt,decile,D2,0.13018608816058105,0.11515882900970704,202
tgt,decile,D3,-0.03935568885673376,0.11139782733363479,201
tgt,decile,D4,0.1469012847175449,0.09958710837682604,201
tgt,decile,D5,0.10360576180623203,0.08842244553013129,201
tgt,decile,D6,-0.10478388019717445,0.09730138128163682,201
tgt,decile,D7,-0.06374412049391545,0.09905604639767818,201
tgt,decile,D8,-0.07860546823308553,0.11211753043020253,201
tgt,decile,D9,-0.026413854904974245,0.10622637585185037,201
tgt,decile,D10,0.07260274052875448,0.09961496528651408,202
vol,spec,dose in sd (headline),-0.005372593776293207,0.014057268405806967,5166
vol,spec,winsorised at p99 of positive,-0.0029165449715908708,0.019297364303920317,5166
vol,spec,winsorised at p95 of positive,-0.011420001382683325,0.02863509875449797,5166
vol,spec,winsorised at p90 of positive,-0.025174126467582887,0.032053302349683566,5166
vol,spec,percentile rank,-0.013170644332341016,0.04437358878561654,5166
vol,spec,top 1% of dosed units dropped,-0.00628630078935132,0.02592930965779147,5146
vol,spec,top 5% of dosed units dropped,-0.031983508646147865,0.05177550306517881,5077
vol,decile,D1,,,0
vol,decile,D2,0.015120749336636544,0.08187864422538242,395
vol,decile,D3,0.001435494774419958,0.1145644407553659,197
vol,decile,D4,,,0
vol,decile,D5,0.059027113297108295,0.1057558007503061,226
vol,decile,D6,-0.02587065965820279,0.10979710574022912,240
vol,decile,D7,0.013131168031562317,0.1173822048715272,278
vol,decile,D8,-0.14816279783400477,0.14912029107815872,226
vol,decile,D9,-0.11559718494439439,0.12486724087224027,233
vol,decile,D10,-0.042283511131979985,0.13631422592012904,216
