fe,t,b,s
sector x year,2007,0.6457773279867078,0.16526596609799535
sector x year,2008,0.38832300110711965,0.1903759474979266
sector x year,2009,0.08624075763650162,0.10999726858269697
sector x year,2010,0.14237045645927374,0.11440157401476064
sector x year,2011,0.31199370193095166,0.114350910232724
sector x year,2012,0.14100383124430954,0.10722255327036853
sector x year,2013,0.006226316914184399,0.08792593218435868
sector x year,2014,-0.07221349703913868,0.0741033269860776
sector x year,2015,0.021734165062227213,0.05600278835002582
sector x year,2016,0.0073175637442438515,0.05462838432584152
sector x year,2018,-0.09127509034568689,0.06678782626010188
sector x year,2019,-0.14236077081070433,0.0686787057002017
sector x year,2020,-0.1577711363816042,0.09259659702137073
sector x year,2021,-0.030719727154432153,0.11737342677806174
sector x year,2022,-0.10005377831771643,0.13490086991745262
sector x year,2023,0.05880122271505064,0.11755315785876144
sector x year,2024,0.06960651675493135,0.12474305958997559
sector x year,2017,0.0,0.0
both,2007,-0.01043977394065381,0.11389659556360025
both,2008,-0.02855729654375958,0.1612955252479445
both,2009,-0.027422821137173668,0.11908427310924796
both,2010,-0.1393051194922265,0.11352424841135428
both,2011,0.12121429389216451,0.10914845697682041
both,2012,-0.022721663842748575,0.08510364505347547
both,2013,0.08214715443050144,0.09844255124380485
both,2014,-0.08747047427333579,0.07630408095021537
both,2015,0.028494136548924676,0.07559896086959846
both,2016,-0.09677771782176785,0.05552943241253925
both,2018,-0.12848374252542985,0.08613701274882936
both,2019,-0.16410973056146436,0.07907735969200398
both,2020,-0.34559654032924275,0.10666616805587631
both,2021,-0.2805435704460479,0.12705706082704818
both,2022,-0.3199892634304062,0.12335653354793706
both,2023,0.022920740300317464,0.13531369976040802
both,2024,0.060942894337881,0.17206489895248714
both,2017,0.0,0.0
