year,treated,synthetic,lambda
2007,8.348474,5.792348590013532,0.0
2008,8.454283,5.897790197541626,0.01905396746839964
2009,8.222109,5.666820812555778,0.0
2010,8.3994255,5.843590535079984,0.031547529018266206
2011,8.601096,6.044673172810778,0.17887544327422591
2012,8.7191925,6.163057323088742,0.020092439283246395
2013,8.774285,6.217982027425376,0.11012600980960084
2014,8.806038,6.2499316237519995,0.12421394410230283
2015,8.851335,6.295279520838723,0.15286682180537256
2016,8.8890085,6.33306082763637,0.0
2017,8.987653,6.431325339861684,0.36322384523858564
2018,9.105838,6.507096892656376,
2019,9.153891,6.506093658338986,
2020,9.123848,6.400602292579522,
2021,9.404089,6.550045521019799,
2022,9.513807,6.5949721812947075,
2023,9.403991,6.581724726268886,
2024,9.413755,6.575509236258813,
