year,treated,synthetic,lambda
2007,8.348474,7.3954648945980965,0.0
2008,8.454283,7.763397121528236,0.05221611121060683
2009,8.222109,7.527215945521981,0.015459519499322633
2010,8.3994255,7.777029199056685,0.14183204427694746
2011,8.601096,7.932342790686176,0.2806649300391512
2012,8.7191925,8.253433460266098,0.0027127221104930564
2013,8.774285,8.368202728757677,0.0
2014,8.806038,8.490967432245107,0.0
2015,8.851335,8.482655164281041,0.0
2016,8.8890085,8.687706432499787,0.4021269493848294
2017,8.987653,8.91223231206734,0.10498772347864965
2018,9.105838,8.88711213211155,
2019,9.153891,8.796932431010468,
2020,9.123848,8.629141006749842,
2021,9.404089,8.824902708402348,
2022,9.513807,9.092398459146757,
2023,9.403991,9.153279162431186,
2024,9.413755,9.194183702428134,
