spec,n,rmse,eff,tau,se,plac,plac_se
"0. as §3aa: group, intercept, MVA only",58,0.09812661311271131,13.41358534695297,0.20300478,0.06048945,0.039639328,0.02365626
1. + richer covariates,58,0.12187254500768563,10.498218191760454,0.13269842,0.06008459,0.043615907,0.025134962
2. + no intercept,58,0.11398561704787377,8.975879872801436,0.14454412,0.063723415,0.048645742,0.028051304
3. + PER-UNIT   <- the honest version,954,0.32929420271161336,4.664380641063744,0.15385978,0.04170104,0.052361622,0.022189349
3b. per-unit but keeping the intercept,954,0.25113545980647217,6.214507853301007,0.13486259,0.042316187,0.039227534,0.019995643
"4. per-unit, POLICY-ACTIVE donors only",922,0.4824778453926421,2.7218455290721444,0.025248613,0.04516476,-0.00423354,0.032399956
"C0. group, intercept, MVA only",52,0.11020829873553617,7.816800850103867,0.39254105,0.06343683,0.036890946,0.017432405
"C1. group, no intercept, rich covariates",52,0.18946980599436697,4.064328522545672,0.43181932,0.085731946,0.11936461,0.048261303
"C2. PER-UNIT, no intercept, rich covariates",1346,0.5406195083120333,2.9199904894521778,0.39408147,0.0359045,0.09267595,0.023015762
"C3. per-unit, intercept kept",1346,0.313087994161503,4.153004616608081,0.35467434,0.035734143,0.056598827,0.01826788
