k,n_tr,n_don,rmse_in5,rmse_hold,pre_rmse,tau,plac,ratio,p_rank,n_plac
1020,17,51,0.02435348044617861,0.09659809423287669,0.04310669459851504,0.25811005,0.066734076,5.9877024,0.1568627450980392,50
1030,20,56,0.040337265265144966,0.08343886627679038,0.05860288371839536,0.30368122,-0.017218083,5.1820183,0.23529411764705882,50
1074,15,24,0.06513068997336936,0.10986390323355856,0.06701609438871274,0.11341709,0.018159926,1.6923858,0.47058823529411764,50
1080,6,10,0.2616414243420204,0.25682834656358033,0.44079729879180296,1.2349291,0.7754643,2.8015804,,0
1311,16,17,0.12423595086767752,0.2616533518886861,0.1908185048312287,0.07097651,-0.08242434,0.37195823,,0
1312,21,30,0.006214903806203022,0.15660188204647507,0.05431788649022013,-0.3221588,0.0006195456,5.9309893,0.09803921568627451,50
1391,11,15,0.06549377718832752,0.34490029543612194,0.15580861625851805,0.7609118,0.059266984,4.883631,,0
1393,16,34,0.0001608786174349015,0.4422779982099354,0.029873153737071174,-0.5717898,-0.044389486,19.14059,0.09803921568627451,50
1399,20,24,0.05266069462159477,0.416133555550861,0.14068052551942314,0.002153337,-0.069840364,0.015306575,,0
1410,25,77,0.04010782989323459,0.1332570957184085,0.046843236983038786,0.23538822,-0.026095599,5.02502,0.5490196078431373,50
1420,10,8,0.08925217686886754,0.11110496570933735,0.2785029484728263,-1.025302,0.53586614,3.6814766,,0
1430,21,38,0.02148776277429503,0.008537518043035874,0.03338894919669889,-0.1896542,-0.016932327,5.6801486,0.13725490196078433,50
1512,20,59,0.0006663616685709253,0.1272300809348075,0.02005057080986791,0.0020116568,-0.002948463,0.10032915,1.0,50
1520,22,40,0.04182784170023333,0.2462038713263332,0.13088200633588537,-0.11465356,-0.1379856,0.876007,0.8627450980392157,50
1610,14,33,0.11380926303894733,0.12363161598806853,0.32501313444735824,-0.042954743,0.68168163,0.1321631,0.9607843137254902,50
1621,13,22,0.10467788041632413,0.25902952746898045,0.17273804784796884,0.25751722,0.12866342,1.4907962,0.6666666666666666,50
1622,12,23,0.20437937242943605,0.22265189615204947,0.21427770238093125,-0.23553902,-0.009435058,1.0992233,0.7647058823529411,50
1702,13,28,0.09564791440537711,0.28544963601499873,0.11938991275352422,0.33615315,0.039605975,2.8155909,0.49019607843137253,50
1920,7,6,0.18558471791177766,0.3037037501712503,0.2345630802821714,0.49591154,-0.16087022,2.1141927,,0
2022,14,16,0.04742639836878797,0.13990500992535446,0.12057474977621885,1.1609832,-0.09013575,9.628742,,0
2023,22,45,0.005532481039753827,0.23096347705526224,0.033624256734729144,1.0552744,-0.0024538338,31.384317,0.058823529411764705,50
2030,12,12,0.026251865964914634,0.3479593273149056,0.08643344613709386,-0.12923071,0.01228229,1.495147,,0
2211,15,13,0.06231940464389193,0.24247493694968122,0.1260914051088767,-0.25802934,-0.08957714,2.0463674,,0
2392,16,15,0.06604196418514237,0.08710465236236235,0.12641626856044552,-0.19709808,0.090527534,1.5591196,,0
2395,13,13,0.0587852298631688,0.300373131352927,0.22435210473922593,-0.037356734,0.27302647,0.1665094,,0
2396,18,18,0.13648438153046247,0.19042601207258608,0.14694068301247631,-0.00043731928,0.056377903,0.0029761621,,0
2431,15,13,0.1397473473902319,0.18683528508249672,0.14719097370455153,0.67619234,-0.14016792,4.59398,,0
2511,20,15,0.1079053457221314,0.06518186232612216,0.09945629112071906,0.20399058,-0.045461297,2.0510576,,0
2512,14,16,0.1948367017730774,0.31858740581263095,0.20739294834611086,0.1514999,-0.06394458,0.7304969,,0
2610,21,37,0.0013051098915480887,0.040474901211205734,0.008575418652469144,0.2583418,-0.0056352615,30.12585,0.0392156862745098,50
2620,23,58,0.000629676679938117,0.0395730584083242,0.008425203150073706,0.3310488,-0.003356427,39.29268,0.0784313725490196,50
2630,25,51,0.00018745366094520102,0.10609980679353902,0.022957147196380426,-0.02299431,0.031932175,1.0016187,0.803921568627451,50
2640,20,26,0.004444160300719758,0.07144676867075057,0.01641355910377306,0.24195178,0.0011376739,14.740971,0.0196078431372549,50
2651,20,67,0.0007406405926403118,0.07547202895305931,0.01506580568414953,0.16357961,-0.0033864677,10.857675,0.3333333333333333,50
2652,13,19,0.026158463932218684,0.3873829449876132,0.13612144660233289,1.10921,0.076321095,8.148679,0.058823529411764705,50
2660,16,22,0.04613705292553502,0.2389202936216107,0.11830199802791419,-0.4708946,-0.09344049,3.9804451,0.09803921568627451,50
2710,26,50,0.0038770208288536876,0.11493192484093429,0.009666639322606387,0.49937874,-0.0048519373,51.660015,0.0392156862745098,50
2731,12,17,0.14465982916458306,0.3351375692779284,0.258605138794119,0.25659835,0.4971118,0.9922399,,0
2732,21,22,0.024420395266222295,0.11077737685521778,0.051675445083161534,0.35751933,-0.017352939,6.9185534,,0
2740,18,36,0.00201398057739757,0.18028897837498611,0.02192367862277212,0.27081805,0.0087528825,12.352766,0.27450980392156865,50
2790,24,40,0.0026616792580721896,0.20340073714436452,0.011445313163644161,0.36124006,0.0020445287,31.562271,0.0196078431372549,50
2811,15,20,0.026153657882013053,0.12613516757287993,0.03275001373962303,-0.43441325,-0.019029737,13.264521,,0
2812,17,20,0.009409632511683187,0.3126994101366495,0.16568460985724975,0.38878894,-0.20580828,2.3465602,,0
2814,18,24,0.005316726056302985,0.34851858515156453,0.12413748281429297,0.030640572,-0.046952993,0.24682772,0.9019607843137255,50
2815,9,7,0.09439079734996852,0.5026009708809389,0.35285641933968426,0.16034776,0.44997805,0.45442778,,0
2816,20,16,0.004312625209074085,0.11248339147935266,0.02365163057362593,0.59342897,-0.008572221,25.090405,,0
2817,15,17,0.01762106076319547,0.11140526183166223,0.08349062847569375,0.78062505,-0.0589666,9.349853,,0
2818,11,14,0.05760402537274925,0.10749588990325407,0.07172549177713133,-0.33862126,0.02647084,4.7210727,,0
