k,n_tr,n_don,npre,rmse_omega,rmse_uniform,resid_slope_omega,resid_slope_uniform,w_max,w_eff_n
1020,17,53,12,0.12493421401934109,0.32274289132861694,0.022289659716094895,0.08271544232329449,0.031939807513406034,46.92886624955669
1030,20,56,12,0.0846829119558356,0.10885125285763397,-0.0030603009244096887,-0.013191044856268447,0.022066215453396758,55.15982525745459
1074,15,24,16,0.09821404727745645,0.12610710986288765,0.002188290280422162,0.005641336370186497,0.05772805480690741,23.185229274615534
1080,6,10,15,0.7761074061263935,0.8866353761373107,0.14347029378557874,0.1734309739725931,0.17156227748334765,8.458352900658102
1311,16,17,13,0.28798633394473,0.34034219670585364,0.010976023353177313,0.015225981485577836,0.07720795342905186,16.692142572132237
1312,21,30,14,0.1525605089628172,0.18551558151498468,-0.013888752632468004,-0.021728158262677606,0.04157222205604084,29.477002781010064
1391,11,15,13,0.41566811731082026,0.5197150173453007,0.033907930036319624,0.046972430322742294,0.09194361128315018,14.24637291257703
1393,16,34,14,0.22102312810188357,0.26689023747088403,0.011501728255438423,0.020916651719517346,0.03407522073008455,33.48020005192318
1399,20,24,15,0.26463807377850973,0.42167533913380184,-0.04190892112095433,-0.08455335061243238,0.0625317551009224,21.626090225488326
1410,25,77,15,0.07750139118970102,0.1327263623399408,0.003121577670788124,0.02034308198348708,0.018301853900318386,75.44528474842122
1420,10,8,12,0.5827017999693167,0.6425459676949071,0.14191961558286906,0.15980463600033648,0.17420726302529088,7.682739812706416
1430,21,38,17,0.09245748348975498,0.1382056211724463,-0.006005000237314282,-0.018999836812232187,0.04230380682256864,36.473018076650426
1512,20,59,12,0.10668248190796753,0.150481371080405,-0.010008601402182342,-0.02326408488821878,0.02150281902252427,58.078039226914434
1520,22,40,13,0.24875877816314998,0.4305605748423515,-0.04511834997413584,-0.10373616440856198,0.03633274377046574,35.539381482097866
1610,14,33,13,0.37773043202254086,0.6190492299095224,0.07804327219920354,0.14798353360844899,0.08283323254766091,21.560118823706556
1621,13,22,10,0.2823068256070711,0.3531118552891662,0.03098890745238469,0.04385886723098663,0.05219460249794226,21.60493050682581
1622,12,23,12,0.33277850963120004,0.4681085285542796,0.06668467327758161,0.11385589019347557,0.06011188306916523,21.339205247281818
1702,13,28,13,0.3973981303876495,0.487438169644786,0.06526917027322988,0.08821750630359962,0.06257463033036292,26.061116612009606
2022,14,16,16,0.22179855082416577,0.2346731160091554,-0.002765295454078203,-0.0026916665627675896,0.07061193249250061,15.90539446838549
2023,22,45,14,0.14395204177620743,0.21739077705748988,0.02575080861749813,0.04543885781797005,0.032746446020622016,43.412013325685955
2030,12,12,12,0.3600791615389054,0.4137429328813647,0.044423108487302715,0.059508089030417745,0.08832351348707891,11.930386222744943
2211,15,13,12,0.2183963032560695,0.23186102290011923,-0.004067752913400075,-0.010071091066956887,0.082456277899155,12.97678809699114
2392,16,15,13,0.4163587090720137,0.6438933804600342,0.09285547168776345,0.15839448656354618,0.10271046887195076,13.29426427930435
2395,13,13,12,0.34366832257454516,0.3924548567899529,0.06098319908771138,0.08000116998499089,0.09055820692188683,12.729412999106785
2396,18,18,16,0.1969680416248751,0.2726551468053881,0.01683066499341491,0.04056630494206953,0.09407692339626057,17.075780424028043
2431,15,13,15,0.39643370597468663,0.4352785850013772,0.0005337775583335561,-0.006595306583567575,0.08729182991447335,12.86111628908517
