k,E,tau,n_tr,n_don,w_tr
1020,2019,0.23088712,17,53,4.994575e+06
1030,2019,0.20131809,20,56,1.9224712e+06
1074,2023,-0.06076342,15,24,26746.242
1080,2022,-0.17567423,6,10,59051.395
1311,2020,0.35645568,16,17,354100.25
1312,2021,-0.3516641,21,30,769107.8
1391,2020,0.70639694,11,15,109726.17
1393,2021,-0.14217027,16,34,1.439957e+06
1399,2022,0.075840384,20,24,923401.9
1410,2022,0.13997218,25,77,2.988227e+07
1420,2019,-0.6647809,10,8,32966.43
1430,2024,-0.06442203,21,38,2.7318878e+06
1512,2019,0.19078287,20,59,717746.3
1520,2020,0.04092127,22,40,7.532228e+06
1610,2020,0.17060435,14,33,146119.14
1621,2017,0.9007726,13,22,713210.8
1622,2019,-0.022286713,12,23,268284.06
1702,2020,0.31779754,13,28,95092.47
2022,2023,0.61704564,14,16,97259.41
2023,2021,0.668504,22,45,1.7053654e+06
2030,2019,-0.24630177,12,12,305214.97
2211,2019,0.2598891,15,13,4.0855542e+06
2392,2020,0.5213486,16,15,257522.67
2395,2019,0.20392609,13,13,167992.66
2396,2023,0.11174725,18,18,1.5424562e+06
2431,2022,-0.10047692,15,13,322259.84
2511,2019,0.5610302,20,15,510113.22
2512,2019,1.2803763,14,16,85291.96
2610,2019,0.38081783,21,37,1.6645136e+07
2620,2020,0.1778988,23,58,5.023457e+06
2630,2024,-0.016764015,25,51,1.2246627e+07
2640,2023,0.32350135,20,26,2.0317688e+06
2651,2021,-0.060774177,20,67,9.272542e+06
2652,2019,0.5703989,13,19,35616.812
2660,2019,-0.2702602,16,22,487097.3
2710,2022,0.36713192,26,50,1.5904734e+07
2731,2020,0.4929375,12,17,202871.58
2732,2020,0.3036896,21,22,403445.4
2740,2022,0.11876524,18,36,713988.75
2790,2021,0.43237114,24,40,1.193293e+06
2811,2021,-0.6741817,15,20,656845.1
2812,2023,-0.1831592,17,20,263082.6
2814,2023,-0.22558346,18,24,1.1013061e+06
2816,2024,-0.13984865,20,16,1.5404606e+06
2817,2019,0.5938972,15,17,599851.1
2818,2022,-0.5200174,11,14,35328.36
2819,2023,-0.05199206,26,41,8.795676e+06
2821,2023,-0.9617743,13,13,605589.1
2822,2023,0.3600833,17,20,337651.1
2826,2017,0.6753546,16,12,1.1712796e+06
2920,2023,-0.15419549,11,17,38771.234
3100,2020,0.053299636,18,53,1.0339772e+07
3211,2022,-0.30157983,20,51,1.113013e+07
Wastes,2021,-0.060628206,13,19,28380.242
