Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
Em6,-0.04317647383880181,0.018305284825339243,-2.358688993412133,0.018339618568282257,-0.07905417282321431,-0.007298774854389317
Em5,-0.04091708493430133,0.017102306733659298,-2.392489245545563,0.016734518517875552,-0.07443699018483041,-0.007397179683772251
Em4,-0.03079439519793836,0.013756949486406506,-2.2384610213453837,0.02519100655505202,-0.05775752072843191,-0.003831269667444806
Em3,-0.023197919144771192,0.006238765298182531,-3.718350993509754,0.0002005275197585199,-0.03542567443720725,-0.010970163852335138
Em2,-0.021578369366610697,0.002237816397767936,-9.642600433231966,0.0,-0.025964408910249013,-0.01719232982297238
Ep0,0.0006954894675644517,0.0045688150943633205,0.1522253479731533,0.8790092021461899,-0.008259223569410628,0.00965020250453953
Ep1,0.0016945228082743773,0.014358112960742856,0.11801848981878371,0.9060530075102411,-0.026446861480739388,0.029835907097288145
Ep2,0.02833339198599827,0.02321489991387224,1.2204830557579718,0.22228180902321193,-0.017166975749893336,0.07383375972188988
Ep3,0.016331584706231764,0.02281092585946113,0.7159544863216513,0.4740194528559627,-0.02837700843232544,0.06104017784478897
Ep4,0.025236069456663394,0.016871660847843688,1.4957667584865384,0.1347144466508925,-0.007831778164484757,0.058303917077811546
Ep5,-0.001281254151967302,0.016673250733027414,-0.07684489200593103,0.9387469376410589,-0.033960225093907094,0.03139771678997249
Ep6,-0.021462969489251003,0.06081205570373977,-0.3529393841545648,0.7241338840981573,-0.14065240849442456,0.09772646951592255
